Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
,ISRL-KST,176,ISRL-KST-ORDER 29,680,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER,17.4,0.0263,10,0.26,174
,ISRL-KST,176,ISRL-KST-ORDER 29,680,103161,16X6-8  (WIDE),ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER,16.3,0.0257,5,0.13,81.5
,ISRL-KST,176,ISRL-KST-ORDER 29,680,111011,6.00-9,ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26,0.0377,40,1.51,"1,040.00"
,ISRL-KST,176,ISRL-KST-ORDER 29,680,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26.4,0.0383,11,0.42,290.4
,ISRL-KST,176,ISRL-KST-ORDER 29,680,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,35,1.78,"1,232.00"
,ISRL-KST,176,ISRL-KST-ORDER 29,680,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,50,3.46,"2,285.00"
,ISRL-KST,176,ISRL-KST-ORDER 29,680,133011,2.50-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER,64.6,0.1049,2,0.21,129.2
,ISRL-KST,176,ISRL-KST-ORDER 29,680,155011,12.00-20,ACHIEVER PLUS,BLACK,STD,8,3 LAYER,203.9,0.3074,2,0.61,407.8
,ISRL-KST,176,ISRL-KST-ORDER 29,680,139161,3.00-15 (WIDE),ACHIEVER PLUS,BLACK,STD,8,3 LAYER,108.7,0.1701,4,0.68,434.8
,ISRL-KST,176,ISRL-KST-ORDER 29,680,142011,7.00-15,ACHIEVER PLUS,BLACK,STD,6,3 LAYER,58.7,0.0943,7,0.66,410.9
,ISRL-KST,176,ISRL-KST-ORDER 29,680,135011,8.15-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER,59.3,0.1024,2,0.2,118.6
,ISRL-KST,176,ISRL-KST-ORDER 29,680,138011,8.25-15 ,ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER,80.4,0.1232,3,0.37,241.2
,ISRL-KST,176,ISRL-KST-ORDER 29,680,138161,8.25-15 (WIDE),ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER,90.6,0.1358,20,2.72,"1,812.00"
