Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
27.11.2023,SPAIN,265,SPA-GTI-Order 16,783,101041,15 x 4 1/2 - 8 ,RUNNERSOLID,BLACK,STD,3,3 LAYER,10.1,0.0171,40,0.68,404
27.11.2023,SPAIN,265,SPA-GTI-Order 16,783,102041,5.00-8,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,20,0.52,342
27.11.2023,SPAIN,265,SPA-GTI-Order 16,783,111041,6.00-9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.8,0.039,50,1.95,"1,340.00"
27.11.2023,SPAIN,265,SPA-GTI-Order 16,783,119041,6.50-10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.9,0.0523,30,1.57,"1,047.00"
27.11.2023,SPAIN,265,SPA-GTI-Order 16,783,125041,7.00-12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,40,2.9,"1,876.00"
27.11.2023,SPAIN,265,SPA-GTI-Order 16,783,101042,15 x 4 1/2 - 8 ,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,10.3,0.0171,50,0.86,515
27.11.2023,SPAIN,265,SPA-GTI-Order 16,783,110042,140/55-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.3,0.0186,20,0.37,206
27.11.2023,SPAIN,265,SPA-GTI-Order 16,783,103042,16 x 6 - 8 ,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,16.6,0.0263,10,0.26,166
27.11.2023,SPAIN,265,SPA-GTI-Order 16,783,104042,18x7-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.8,0.0316,50,1.58,"1,040.00"
27.11.2023,SPAIN,265,SPA-GTI-Order 16,783,102042,5.00-8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,17.4,0.0259,10,0.26,174
27.11.2023,SPAIN,265,SPA-GTI-Order 16,783,111042,6.00-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,27.1,0.039,10,0.39,271
27.11.2023,SPAIN,265,SPA-GTI-Order 16,783,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,23.1,0.0394,20,0.79,462
27.11.2023,SPAIN,265,SPA-GTI-Order 16,783,112042,21x8-9,RUNNERSOLID,BLACK,CLIP,6,3 LAYER,33.5,0.0494,6,0.3,201
27.11.2023,SPAIN,265,SPA-GTI-Order 16,783,120042,23x9-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,10,0.66,447
27.11.2023,SPAIN,265,SPA-GTI-Order 16,783,135042,28x9-15,RUNNERSOLID,BLACK,CLIP,7,3 LAYER,58.7,0.1041,10,1.04,587
27.11.2023,SPAIN,265,SPA-GTI-Order 16,783,133042,250-15,RUNNERSOLID,BLACK,CLIP,7,3 LAYER,65.9,0.1127,10,1.13,659
