Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
28.11.2023,KENYA,262,KEN- TSL -ORDER 01,780,110001,140/55-9,ACHIEVER,BLACK,STD,4,2 LAYER,9.5,0.0179,6,0.1074,57
28.11.2023,KENYA,262,KEN- TSL -ORDER 01,780,104001,18X7-8,ACHIEVER,BLACK,STD,4.33,2 LAYER,20.8,0.0303,6,0.1818,124.8
28.11.2023,KENYA,262,KEN- TSL -ORDER 01,780,119241,6.50 - 10 (Wide wall),ACHIEVER,BLACK,STD,5,2 LAYER,35.8,0.0508,50,2.54,1790
28.11.2023,KENYA,262,KEN- TSL -ORDER 01,780,135001,"28X9-15, 8.15-15",ACHIEVER,BLACK,STD,7,2 LAYER,59.6,0.1024,50,5.12,2980
28.11.2023,KENYA,262,KEN- TSL -ORDER 01,780,118001,200/50-10,ACHIEVER,BLACK,STD,6.5,2 LAYER,23.6,0.0388,6,0.2328,141.6
28.11.2023,KENYA,262,KEN- TSL -ORDER 01,780,136001,28X12.5-15,ACHIEVER,BLACK,STD,9.75,2 LAYER,84.4,0.1354,2,0.2708,168.8
28.11.2023,KENYA,262,KEN- TSL -ORDER 01,780,139001,3.00-15 ,ACHIEVER,BLACK,STD,8,2 LAYER,103.1,0.1563,6,0.9378,618.6
28.11.2023,KENYA,262,KEN- TSL -ORDER 01,780,119242,6.50 - 10 (Wide wall),ACHIEVER,BLACK,CLIP,5,2 LAYER,36.3,0.0508,12,0.6096,435.6
28.11.2023,KENYA,262,KEN- TSL -ORDER 01,780,135002,"28X9-15, 8.15-15",ACHIEVER,BLACK,CLIP,7,2 LAYER,60.3,0.1024,12,1.2288,723.6
28.11.2023,KENYA,262,KEN- TSL -ORDER 01,780,717071,18X9X12 1/8,RUNNERBAND,BLCK,SMOOTH,-,2 LAYER,34.4,0.0491,22,1.0802,756.8
28.11.2023,KENYA,262,KEN- TSL -ORDER 01,780,730072,16 1/4X7X11 1/4,RUNNERBAND,BLCK,TRACTION,-,2 LAYER,20.9,0.0312,22,0.6864,459.8
