"Cavity Name","Mold Name",ICode,Description,Rim,Brand,Type,Colour,"Green Tire Weight",Order,"Plan Pcs","Plan Weight"
A1-CV1,M103,139162,"300 - 15 (8.00) ACHIEVER PLUS(WIDE) BLACK CLIP",8.00,"ACHE +",CLIP,BLACK,110.30,20,2,220.6
A2-CV1,M92,135012,"8.15 - 15 (28 x 9 - 15) (7.00) ACHIEVER PLUS BLACK CLIP",7.00,"ACHE +",CLIP,BLACK,61.00,,3,183
A2-CV2,M93,135012,"8.15 - 15 (28 x 9 - 15) (7.00) ACHIEVER PLUS BLACK CLIP",7.00,"ACHE +",CLIP,BLACK,61.00,,3,183
A2-CV3,M95,135012,"8.15 - 15 (28 x 9 - 15) (7.00) ACHIEVER PLUS BLACK CLIP",7.00,"ACHE +",CLIP,BLACK,61.00,,3,183
A3-CV2,M78,120044,"23 x 9 - 10 (6.50) ATIRE RUNNER SOLID NM CLIP",6.50,"RUNNER SOLID",CLIP,NM,45.20,,2,90.4
A7-CV1,M11,110004,"140/55 x 9 (4.00) ACHIEVER NM CLIP",4.00,ACHIEVER,CLIP,NM,10.22,127,4,40.88
A7-CV2,M19,101161,"15 x 4.5 - 8 (3.00) ACHIEVER PLUS (WIDE ) STD",3.00,"ACHE +",STD,BLACK,9.90,30,5,49.5
A7-CV3,M12,110004,"140/55 x 9 (4.00) ACHIEVER NM CLIP",4.00,ACHIEVER,CLIP,NM,10.22,127,4,40.88
A7-CV4,M13,110004,"140/55 x 9 (4.00) ACHIEVER NM CLIP",4.00,ACHIEVER,CLIP,NM,10.22,127,4,40.88
A10-CV1,M122,100001,"4.00 - 8 (3.00) ACHIEVER BLACK STD",3.00,ACHIEVER,STD,BLACK,11.20,10,5,56
A10-CV2,M137,102241,"5.00 - 8 (3.00) ACHIEVER (WIDE ) BLACK STD",3.00,ACHIEVER,STD,BLACK,18.05,2,5,90.25
B2-CV4,M199,171301,"7.50 - 16 (6.00) NEXEN BLACK STD",6.50,NEXEN,STD,BLACK,71.82,137,3,215.46
B5-CV1,M193,141001,"7.00 - 15 (5.50) ACHIEVER BLACK STD",5.50,ACHIEVER,STD,BLACK,59.22,,3,177.66
B6-CV1,M158,119162,"6.50 - 10 (5.00) ACHIEVER PLUS (WIDE) BLACK CLIP",5.00,"ACHE +",CLIP,BLACK,35.80,,4,143.2
B6-CV2,M160,119162,"6.50 - 10 (5.00) ACHIEVER PLUS (WIDE) BLACK CLIP",5.00,"ACHE +",CLIP,BLACK,35.80,,4,143.2
B6-CV3,M161,119162,"6.50 - 10 (5.00) ACHIEVER PLUS (WIDE) BLACK CLIP",5.00,"ACHE +",CLIP,BLACK,35.80,,4,143.2
C1-CV1,M34,104004,"18 x 7 - 8 (4.33) ACHIEVER NM CLIP",4.33,ACHIEVER,CLIP,NM,21.25,63,4,85
C1-CV3,M38,104004,"18 x 7 - 8 (4.33) ACHIEVER NM CLIP",4.33,ACHIEVER,CLIP,NM,21.25,63,4,85
C1-CV4,M37,104004,"18 x 7 - 8 (4.33) ACHIEVER NM CLIP",4.33,ACHIEVER,CLIP,NM,21.25,63,4,85
C1-CV5,M36,104004,"18 x 7 - 8 (4.33) ACHIEVER NM CLIP",4.33,ACHIEVER,CLIP,NM,21.25,63,4,85
C4-CV1,M124,159421,"4.00 - 8 (3.75) ATIRE TRAILER SOLID ( RIB) BLACK STD",3.75,"TRAILER SOLID",STD,BLACK,10.30,170,5,51.5
C4-CV2,M17,101161,"15 x 4.5 - 8 (3.00) ACHIEVER PLUS (WIDE ) STD",3.00,"ACHE +",STD,BLACK,9.90,30,5,49.5
C4-CV3,M125,159421,"4.00 - 8 (3.75) ATIRE TRAILER SOLID ( RIB) BLACK STD",3.75,"TRAILER SOLID",STD,BLACK,10.30,170,5,51.5
C4-CV4,M126,159421,"4.00 - 8 (3.75) ATIRE TRAILER SOLID ( RIB) BLACK STD",3.75,"TRAILER SOLID",STD,BLACK,10.30,170,5,51.5
C4-CV5,M18,101161,"15 x 4.5 - 8 (3.00) ACHIEVER PLUS (WIDE ) STD",3.00,"ACHE +",STD,BLACK,9.90,30,5,49.5
C7-CV1,M551,730072,"16 1/4 x 7 x 11 1/4 ATIRE RUNNER BAND BLACK TR",,POB,TR,BLACK,22.30,14,4,89.2
D1-CV2,M88,127041,"27 x 10 - 12 (8.00) ATIRE RUNNER SOLID BLACK STD",8.00,"RUNNER SOLID",STD,BLACK,69.60,,2,139.2
D1-CV3,M201,138012,"8.25 - 15 (6.50) ACHIEVER PLUS BLACK CLIP",6.50,"ACHE +",CLIP,BLACK,82.10,,2,164.2
D2-CV2,M202,138052,"8.25 - 15 (6.50) ATIRE ROCK SOLID BLACK CLIP",6.50,"ROCK SOLID",CLIP,BLACK,89.20,23,2,178.4
D3-CV1,M207,151001,"9.00 - 20 (7.00) ACHIEVER BLACK STD",7.00,ACHIEVER,STD,BLACK,129.41,2,2,258.82
F1-CV1,M616,726321,"40 x 16 x 30 ATIRE RUNNER BAND (PBB WHEEL) BLACK SM",,POB,SM,BLACK,141.50,20,2,283
F2-CV1,M5,152411,"10.00 - 20 (7.00) ATIRE TRAILER SOLID BLACK STD (CW) 3PCS",7.00,"TRAILER SOLID",STD,BLACK,159.30,1,2,318.6
F4-CV1,M121,167341,"36 x 14 - 20 (7.50) SKID SOLID R4 (WOAP) BLACK STD",7.50,SKS,STD,BLACK,130.04,4,2,260.08
B7-CV1,M77,120042,"23 x 9 - 10 (6.50) ATIRE RUNNER SOLID BLACK CLIP",6.50,"RUNNER SOLID",CLIP,BLACK,45.10,1,2,90.2
B7-CV1,M78,120042,"23 x 9 - 10 (6.50) ATIRE RUNNER SOLID BLACK CLIP",6.50,"RUNNER SOLID",CLIP,BLACK,45.10,1,3,135.3
B7-CV2,M81,120242,"23 x 9 - 10 (6.50) ACHIEVER (WIDE) BLACK CLIP",6.50,ACHIEVER,CLIP,BLACK,47.48,,3,142.44
A1-CV1,M103,139162,"300 - 15 (8.00) ACHIEVER PLUS(WIDE) BLACK CLIP",8.00,"ACHE +",CLIP,BLACK,110.30,20,2,220.6
A2-CV1,M95,135001,"8.15 - 15 (28 x 9 - 15) (7.00) ACHIEVER BLACK STD",7.00,ACHIEVER,STD,BLACK,60.32,40,3,180.96
A2-CV4,M98,135042,"8.15 - 15 (28 x 9 - 15) (7.00) ATIRE RUNNER SOLID BLACK CLIP",7.00,"RUNNER SOLID",CLIP,BLACK,61.00,7,3,183
A3-CV1,M185,125041,"7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK STD",5.00,"RUNNER SOLID",STD,BLACK,47.30,31,3,141.9
