date,Customer,wono,ref,erp,icode,t_size,brand,col,fit,rim,cons,fweight,ptv,new,cbm,kgs
11.07.2023,KOREA,0,KOR-NTC-11,620,100311,4.00-8,NEXEN,BLACK,STD,3,APPROVED NEXEN COMPOUND,10.82,0.0169,250,4.23,"2,705.00"
11.07.2023,KOREA,0,KOR-NTC-11,620,101301,15x4 1/2-8,NEXEN ALLPRO,BLACK,STD,3,APPROVED NEXEN COMPOUND,9.06,0.0147,75,1.1,679.5
11.07.2023,KOREA,0,KOR-NTC-11,620,102301,5.00-8,NEXEN ALLPRO,BLACK,STD,3,APPROVED NEXEN COMPOUND,16.03,0.0244,0,-,-
11.07.2023,KOREA,0,KOR-NTC-11,620,104301,18x7-8,NEXEN ALLPRO,BLACK,STD,4.33,APPROVED NEXEN COMPOUND,19.83,0.03,0,-,-
11.07.2023,KOREA,0,KOR-NTC-11,620,118301,200/50-10,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,23.5,0.0388,10,0.39,235
11.07.2023,KOREA,0,KOR-NTC-11,620,111301,6.00-9,NEXEN ALLPRO,BLACK,STD,4,APPROVED NEXEN COMPOUND,25.6,0.0379,0,-,-
11.07.2023,KOREA,0,KOR-NTC-11,620,112301,21x8-9,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,33.1,0.049,0,-,-
11.07.2023,KOREA,0,KOR-NTC-11,620,119301,6.50-10,NEXEN ALLPRO,BLACK,STD,5,APPROVED NEXEN COMPOUND,35.5,0.0529,0,-,-
11.07.2023,KOREA,0,KOR-NTC-11,620,120301,23x9-10,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,46.4,0.0682,52,3.55,"2,412.80"
11.07.2023,KOREA,0,KOR-NTC-11,620,125301,7.00-12,NEXEN ALLPRO,BLACK,STD,5,APPROVED NEXEN COMPOUND,45.6,0.071,128,9.09,"5,836.80"
11.07.2023,KOREA,0,KOR-NTC-11,620,126301,23x10-12,NEXEN ALLPRO,BLACK,STD,8,APPROVED NEXEN COMPOUND,49.9,0.0798,0,-,-
11.07.2023,KOREA,0,KOR-NTC-11,620,135301,8.15-15,NEXEN ALLPRO,BLACK,STD,7,APPROVED NEXEN COMPOUND,58.5,0.1011,,-,-
11.07.2023,KOREA,0,KOR-NTC-11,620,141301,7.00-15,NEXEN ALLPRO,BLACK,STD,5.5,APPROVED NEXEN COMPOUND,55.15,0.0943,16,1.51,882.4
11.07.2023,KOREA,0,KOR-NTC-11,620,171301,7.50-16,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,70.46,0.1107,10,1.11,704.6
11.07.2023,KOREA,0,KOR-NTC-11,620,138301,8.25-15,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,82.6,0.1232,9,1.11,743.4
11.07.2023,KOREA,0,KOR-NTC-11,620,139301,3.00-15,NEXEN ALLPRO,BLACK,STD,8,APPROVED NEXEN COMPOUND,105.6,0.1563,0,-,-
11.07.2023,KOREA,0,KOR-NTC-11,620,101302,15x4 1/2-8,NEXEN ALLPRO,BLACK,CLIP,3,APPROVED NEXEN COMPOUND,9.36,0.0147,0,-,-
11.07.2023,KOREA,0,KOR-NTC-11,620,102302,5.00-8,NEXEN ALLPRO,BLACK,CLIP,3,APPROVED NEXEN COMPOUND,16.2,0.0244,0,-,-
11.07.2023,KOREA,0,KOR-NTC-11,620,104302,18x7-8,NEXEN ALLPRO,BLACK,CLIP,4.33,APPROVED NEXEN COMPOUND,20.1,0.03,6,0.18,120.6
11.07.2023,KOREA,0,KOR-NTC-11,620,118302,200/50-10,NEXEN ALLPRO,BLACK,CLIP,6.5,APPROVED NEXEN COMPOUND,23.9,0.0388,0,-,-
11.07.2023,KOREA,0,KOR-NTC-11,620,111302,6.00-9,NEXEN ALLPRO,BLACK,CLIP,4,APPROVED NEXEN COMPOUND,25.95,0.0379,0,-,-
11.07.2023,KOREA,0,KOR-NTC-11,620,119302,6.50-10,NEXEN ALLPRO,BLACK,CLIP,5,APPROVED NEXEN COMPOUND,35.8,0.0529,0,-,-
11.07.2023,KOREA,0,KOR-NTC-11,620,125302,7.00-12,NEXEN ALLPRO,BLACK,CLIP,5,APPROVED NEXEN COMPOUND,46.4,0.071,0,-,-
11.07.2023,KOREA,0,KOR-NTC-11,620,141302,7.00-15,NEXEN ALLPRO,BLACK,CLIP,5.5,APPROVED NEXEN COMPOUND,55.95,0.0943,0,-,-
11.07.2024,KOREA,0,KOR-NTC-12,620,135302,8.15-15,NEXEN ALLPRO,BLACK,CLIP,7,APPROVED NEXEN COMPOUND,59.3,0.1011,30,3.03,"1,779.00"
11.07.2025,KOREA,0,KOR-NTC-13,620,171302,7.50-16,NEXEN ALLPRO,BLACK,CLIP,6,APPROVED NEXEN COMPOUND,71.26,0.1107,0,-,-
11.07.2026,KOREA,0,KOR-NTC-14,620,138302,8.25-15,NEXEN ALLPRO,BLACK,CLIP,6.5,APPROVED NEXEN COMPOUND,84.2,0.1232,0,-,-
