date,Customer,wono,ref,erp,icode,t_size,brand,col,fit,rim,cons,fweight,ptv,new,cbm,kgs
11.07.2023,KOREA,0,KOR-NTC-11,620,100311,4.00-8,NEXEN,BLACK,STD,3,APPROVED NEXEN COMPOUND,10.82,0.0169,700,11.83,"7,574.00"
11.07.2023,KOREA,0,KOR-NTC-11,620,101301,15x4 1/2-8,NEXEN ALLPRO,BLACK,STD,3,APPROVED NEXEN COMPOUND,9.06,0.0147,160,2.35,1449.6
11.07.2023,KOREA,0,KOR-NTC-11,620,102301,5.00-8,NEXEN ALLPRO,BLACK,STD,3,APPROVED NEXEN COMPOUND,16.03,0.0244,150,3.66,2404.5
11.07.2023,KOREA,0,KOR-NTC-11,620,104301,18x7-8,NEXEN ALLPRO,BLACK,STD,4.33,APPROVED NEXEN COMPOUND,19.83,0.03,1000,30,19830
11.07.2023,KOREA,0,KOR-NTC-11,620,118301,200/50-10,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,23.5,0.0388,80,3.1,1880
11.07.2023,KOREA,0,KOR-NTC-11,620,111301,6.00-9,NEXEN ALLPRO,BLACK,STD,4,APPROVED NEXEN COMPOUND,25.6,0.0379,250,9.48,6400
11.07.2023,KOREA,0,KOR-NTC-11,620,112301,21x8-9,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,33.1,0.049,130,6.37,4303
11.07.2023,KOREA,0,KOR-NTC-11,620,119301,6.50-10,NEXEN ALLPRO,BLACK,STD,5,APPROVED NEXEN COMPOUND,35.5,0.0529,300,15.87,10650
11.07.2023,KOREA,0,KOR-NTC-11,620,120301,23x9-10,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,46.4,0.0682,150,10.23,6960
11.07.2023,KOREA,0,KOR-NTC-11,620,125301,7.00-12,NEXEN ALLPRO,BLACK,STD,5,APPROVED NEXEN COMPOUND,45.6,0.071,490,34.79,22344
11.07.2023,KOREA,0,KOR-NTC-11,620,126301,23x10-12,NEXEN ALLPRO,BLACK,STD,8,APPROVED NEXEN COMPOUND,49.9,0.0798,140,11.17,6986
11.07.2023,KOREA,0,KOR-NTC-11,620,135301,8.15-15,NEXEN ALLPRO,BLACK,STD,7,APPROVED NEXEN COMPOUND,58.5,0.1011,330,33.36,19305
11.07.2023,KOREA,0,KOR-NTC-11,620,141301,7.00-15,NEXEN ALLPRO,BLACK,STD,5.5,APPROVED NEXEN COMPOUND,55.15,0.0943,80,7.54,4412
11.07.2023,KOREA,0,KOR-NTC-11,620,171301,7.50-16,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,70.46,0.1107,100,11.07,7046
11.07.2023,KOREA,0,KOR-NTC-11,620,138301,8.25-15,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,82.6,0.1232,190,23.41,15694
11.07.2023,KOREA,0,KOR-NTC-11,620,139301,3.00-15,NEXEN ALLPRO,BLACK,STD,8,APPROVED NEXEN COMPOUND,105.6,0.1563,60,9.38,6336
11.07.2023,KOREA,0,KOR-NTC-11,620,101302,15x4 1/2-8,NEXEN ALLPRO,BLACK,CLIP,3,APPROVED NEXEN COMPOUND,9.36,0.0147,30,0.44,280.8
11.07.2023,KOREA,0,KOR-NTC-11,620,102302,5.00-8,NEXEN ALLPRO,BLACK,CLIP,3,APPROVED NEXEN COMPOUND,16.2,0.0244,30,0.73,486
11.07.2023,KOREA,0,KOR-NTC-11,620,104302,18x7-8,NEXEN ALLPRO,BLACK,CLIP,4.33,APPROVED NEXEN COMPOUND,20.1,0.03,300,9,6030
11.07.2023,KOREA,0,KOR-NTC-11,620,118302,200/50-10,NEXEN ALLPRO,BLACK,CLIP,6.5,APPROVED NEXEN COMPOUND,23.9,0.0388,40,1.55,956
11.07.2023,KOREA,0,KOR-NTC-11,620,111302,6.00-9,NEXEN ALLPRO,BLACK,CLIP,4,APPROVED NEXEN COMPOUND,25.95,0.0379,20,0.76,519
11.07.2023,KOREA,0,KOR-NTC-11,620,119302,6.50-10,NEXEN ALLPRO,BLACK,CLIP,5,APPROVED NEXEN COMPOUND,35.8,0.0529,150,7.94,5370
11.07.2023,KOREA,0,KOR-NTC-11,620,125302,7.00-12,NEXEN ALLPRO,BLACK,CLIP,5,APPROVED NEXEN COMPOUND,46.4,0.071,10,0.71,464
11.07.2023,KOREA,0,KOR-NTC-11,620,141302,7.00-15,NEXEN ALLPRO,BLACK,CLIP,5.5,APPROVED NEXEN COMPOUND,55.95,0.0943,20,1.89,1119
11.07.2023,KOREA,0,KOR-NTC-11,620,135302,8.15-15,NEXEN ALLPRO,BLACK,CLIP,7,APPROVED NEXEN COMPOUND,59.3,0.1011,70,7.08,4151
11.07.2023,KOREA,0,KOR-NTC-11,620,171302,7.50-16,NEXEN ALLPRO,BLACK,CLIP,6,APPROVED NEXEN COMPOUND,71.26,0.1107,5,0.55,356.3
11.07.2023,KOREA,0,KOR-NTC-11,620,138302,8.25-15,NEXEN ALLPRO,BLACK,CLIP,6.5,APPROVED NEXEN COMPOUND,84.2,0.1232,20,2.46,1684
