date,Customer,wono,ref,erp,icode,t_size,brand,fit,col,rim,cons,fweight,ptv,new,cbm,kgs
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 09,400,119001,6.50-10,ACHIEVER ,BLACK,STD,5,2 LAYER,34,0.0488,12,0.586,408
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 10,400,135001,8.15-15,ACHIEVER ,BLACK,STD,7,2 LAYER,59.6,0.1024,8,0.819,476.8
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 11,400,118002,200/50-10,ACHIEVER ,BLACK,CLIP,6.5,2 LAYER,23.9,0.0388,7,0.272,167.3
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 12,400,119002,6.50-10,ACHIEVER ,BLACK,CLIP,5,2 LAYER,34.6,0.0488,6,0.293,207.6
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 13,400,135002,8.15-15,ACHIEVER ,BLACK,CLIP,7,2 LAYER,60.3,0.1024,8,0.819,482.4
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 14,400,102011,5.00-8,ACHIEVER PLUS,BLACK,STD,3,3 LAYER,15.6,0.0232,10,0.232,156
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 15,400,119011,6.50-10,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,33.7,0.0488,20,0.976,674
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 16,400,139011,3.00-15,ACHIEVER PLUS,BLACK,STD,8,3 LAYER,101.7,0.1563,8,1.25,813.6
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 17,400,103012,16x 6-8 ,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,16,0.0244,6,0.146,96
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 18,400,104012,18x 7-8 ,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,6,0.182,125.4
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 19,400,110012,140/55-9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,10,0.0179,20,0.358,200
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 20,400,112012,21x 8-9,ACHIEVER PLUS,BLACK,CLIP,6,3 LAYER,33.6,0.0478,8,0.382,268.8
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 21,400,118012,200/50-10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,23.9,0.0388,6,0.233,143.4
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 22,400,119012,6.50-10,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,34.2,0.0488,16,0.781,547.2
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 23,400,120012,23x 9-10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,44.5,0.0627,6,0.376,267
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 24,400,126012,23x 10-12,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,50.7,0.0774,8,0.619,405.6
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 25,400,127012,27x 10-12,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,73.4,0.1066,6,0.64,440.4
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 26,400,136012,28x 12 1/2-15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER,84.2,0.1354,14,1.896,"1,178.80"
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 27,400,139012,3.00-15,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,103.5,0.1563,12,1.876,"1,242.00"
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 28,400,133013,250-15,ACHIEVER PLUS,NON - MARKING,STD ,7,3 LAYER,62.8,0.1049,4,0.42,251.2
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 29,400,135013,8.15-15,ACHIEVER PLUS,NON - MARKING,STD ,7,3 LAYER,58.3,0.1024,4,0.41,233.2
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 30,400,138013,8.25-15,ACHIEVER PLUS,NON - MARKING,STD ,6.5,3 LAYER,83.6,0.1232,2,0.246,167.2
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 31,400,102014,5.00-8,ACHIEVER PLUS,NON - MARKING,CLIP,3,3 LAYER,15.5,0.0232,8,0.186,124
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 32,400,103014,16x 6-8 ,ACHIEVER PLUS,NON - MARKING,CLIP,4.33,3 LAYER,15.4,0.0244,8,0.195,123.2
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 33,400,104014,18x 7-8 ,ACHIEVER PLUS,NON - MARKING,CLIP,4.33,3 LAYER,20.4,0.0303,10,0.303,204
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 34,400,110014,140/55-9,ACHIEVER PLUS,NON - MARKING,CLIP,4,3 LAYER,9.85,0.0179,10,0.179,98.5
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 35,400,111014,6.00-9,ACHIEVER PLUS,NON - MARKING,CLIP,4,3 LAYER,26.3,0.0377,4,0.151,105.2
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 36,400,112014,21x 8-9,ACHIEVER PLUS,NON - MARKING,CLIP,6,3 LAYER,32.8,0.0478,4,0.191,131.2
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 37,400,118014,200/50-10,ACHIEVER PLUS,NON - MARKING,CLIP,6.5,3 LAYER,23.6,0.0388,4,0.155,94.4
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 38,400,119014,6.50-10,ACHIEVER PLUS,NON - MARKING,CLIP,5,3 LAYER,32.9,0.0488,10,0.488,329
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 39,400,120014,23x 9-10,ACHIEVER PLUS,NON - MARKING,CLIP,6.5,3 LAYER,43.6,0.0627,6,0.376,261.6
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 40,400,125014,7.00-12,ACHIEVER PLUS,NON - MARKING,CLIP,5,3 LAYER,46.2,0.0691,6,0.415,277.2
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 41,400,126014,23x 10-12,ACHIEVER PLUS,NON - MARKING,CLIP,8,3 LAYER,49.7,0.0774,4,0.31,198.8
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 42,400,127014,27x 10-12,ACHIEVER PLUS,NON - MARKING,CLIP,8,3 LAYER,71.9,0.1066,2,0.213,143.8
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 43,400,133014,250-15,ACHIEVER PLUS,NON - MARKING,CLIP,7,3 LAYER,63.3,0.1049,4,0.42,253.2
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 44,400,135014,8.15-15,ACHIEVER PLUS,NON - MARKING,CLIP,7,3 LAYER,59.2,0.1024,4,0.41,236.8
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 45,400,138014,8.25-15,ACHIEVER PLUS,NON - MARKING,CLIP,6.5,3 LAYER,83.6,0.1232,2,0.246,167.2
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 46,400,136014,28x 12 1/2-15,ACHIEVER PLUS,NON - MARKING,CLIP,9.75,3 LAYER,81.3,0.1354,4,0.542,325.2
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 47,400,139041,300-15,RUNNERSOLID,BLACK,STD,8,3 LAYER,105.9,0.1682,6,1.009,635.4
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 48,400,104042,18x 7-8 ,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.8,0.0263,11,0.289,228.8
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 49,400,110042,140/55-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.3,0.0186,40,0.744,412
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 50,400,112042,21x 8-9,RUNNERSOLID,BLACK,CLIP,6,3 LAYER,33.5,0.0494,20,0.988,670
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 51,400,126042,23x 10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,47.1,0.0764,20,1.528,942
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 52,400,127042,27x 10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.6,0.1051,5,0.526,348
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 53,400,139042,300-15,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,106.9,0.1682,18,3.028,"1,924.20"
23.06.2023,HUNGARY,122,HUN-NTK / ORDER 54,400,103044,16x 6-8 ,RUNNERSOLID,NON - MARKING,CLIP,4.33,3 LAYER,16.8,0.0263,4,0.105,67.2
