date,Customer,wono,ref,erp,icode,t_size,brand,col,fit,rim,cons,fweight,ptv,new,cbm,kgs
12.07.2023,ROMANIA - SCR,123-R4,SCR ORDER 03,624,151001,9.00-20,ACHIEVER,BLACK,STD,7,2 LAYER,128.1,0.204,8,1.63,"1,024.80"
12.07.2023,ROMANIA - SCR,123-R4,SCR ORDER 03,624,152001,10.00 - 20,ACHIEVER,BLACK,STD,7,2 LAYER,158,0.246,24,5.9,"3,792.00"
12.07.2023,ROMANIA - SCR,123-R4,SCR ORDER 03,624,153001,10.00 - 20,ACHIEVER,BLACK,STD,7.5,2 LAYER,157.7,0.246,24,5.9,"3,784.80"
12.07.2023,ROMANIA - SCR,123-R4,SCR ORDER 03,624,156001,12.00-20,ACHIEVER,BLACK,STD,8.5,2 LAYER,207.4,0.3074,8,2.46,"1,659.20"
12.07.2023,ROMANIA - SCR,123-R4,SCR ORDER 03,624,152221,10.00 - 20 (Baggar),ACHIEVER FITTED WITH RIM,BLACK,STD,7,2 LAYER,206,0.246,0,-,-
12.07.2023,ROMANIA - SCR,123-R4,SCR ORDER 03,624,153221,10.00 - 20 (Baggar),ACHIEVER FITTED WITH RIM,BLACK,STD,7.5,2 LAYER,205.7,0.246,0,-,-
12.07.2023,ROMANIA - SCR,123-R4,SCR ORDER 03,624,153221,10.00 - 20 (Baggar),ACHIEVER FITTED WITH RIM,BLACK,STD,7.5,2 LAYER,205.7,0.246,0,-,-
12.07.2023,ROMANIA - SCR,123-R4,SCR ORDER 03,624,135041,28x9-15,RUNNERSOLID,BLACK,STD,7,3 LAYER,57.8,0.1041,16,1.67,924.8
12.07.2023,ROMANIA - SCR,123-R4,SCR ORDER 03,624,101042,15x4 1/2-8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,10.3,0.0171,10,0.17,103
12.07.2023,ROMANIA - SCR,123-R4,SCR ORDER 03,624,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,23.1,0.0394,20,0.79,462
12.07.2023,ROMANIA - SCR,123-R4,SCR ORDER 03,624,120042,23x9-10 (225/75-10),RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,14,0.92,625.8
12.07.2023,ROMANIA - SCR,123-R4,SCR ORDER 03,624,125042,7.00-12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.8,0.0725,10,0.73,478
12.07.2023,ROMANIA - SCR,123-R4,SCR ORDER 03,624,135042,28x9-15,RUNNERSOLID,BLACK,CLIP,7,3 LAYER,58.7,0.1041,16,1.67,939.2
12.07.2023,ROMANIA - SCR,123-R4,SCR ORDER 03,624,133042,2.50-15,RUNNERSOLID,BLACK,CLIP,7,3 LAYER,65.9,0.1127,16,1.8,"1,054.40"
12.07.2023,ROMANIA - SCR,123-R4,SCR ORDER 03,624,139042,3.00-15,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,106.9,0.1682,16,2.69,"1,710.40"
12.07.2023,ROMANIA - SCR,123-R4,SCR ORDER 03,624,104044,18x7-8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,21,0.0316,20,0.63,420
12.07.2023,ROMANIA - SCR,123-R4,SCR ORDER 03,624,140052,355/65-15,ROCKSOLID,BLACK,CLIP,9.75,3 LAYER,128,0.2021,6,1.21,768
12.07.2023,ROMANIA - SCR,123-R4,SCR ORDER 03,624,166321,31x10-20(Aperture),SKIDSOLID,BLACK,STD,7.5,2 LAYER,62.7,0.1446,10,1.45,627
12.07.2023,ROMANIA - SCR,123-R4,SCR ORDER 03,624,166347,31x10-20(W/O Aperture),SKIDSOLID,BLACK,CLIP-LEFT,7.5,2 LAYER,64.6,0.1446,2,0.29,129.2
12.07.2023,ROMANIA - SCR,123-R4,SCR ORDER 03,624,166348,31x10-20(W/O Aperture),SKIDSOLID,BLACK,CLIP-RIGHT,7.5,2 LAYER,64.6,0.1446,2,0.29,129.2
12.07.2023,ROMANIA - SCR,123-R4,SCR ORDER 03,624,100421,4.00-8(RIB),TRAILERSOLID,BLACK,STD,3,2 LAYER,10.3,0.0172,20,0.34,206
