date,Customer,wono,ref,erp,icode,t_size,brand,col,fit,rim,cons,fweight,ptv,new,cbm,kgs
28.06.2023,USA,126,USA-TFT -ORDER O1,628,101041,15x4 1/2-8,RUNNERSOLID,BLACK,STD,3,3 LAYER,10.1,0.0171,8,0.14,80.8
28.06.2023,USA,126,USA-TFT -ORDER O1,628,104041,18x7-8,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,20.5,0.0316,28,0.88,574
28.06.2023,USA,126,USA-TFT -ORDER O1,628,112041,21x8-9,RUNNERSOLID,BLACK,STD,6,3 LAYER,33.2,0.0494,28,1.38,929.6
28.06.2023,USA,126,USA-TFT -ORDER O1,628,102041,5.00-8,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,12,0.31,205.2
28.06.2023,USA,126,USA-TFT -ORDER O1,628,111041,6.00-9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.8,0.039,8,0.31,214.4
28.06.2023,USA,126,USA-TFT -ORDER O1,628,119041,6.50-10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.9,0.0523,8,0.42,279.2
28.06.2023,USA,126,USA-TFT -ORDER O1,628,125041,7.00-12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,8,0.58,375.2
28.06.2023,USA,126,USA-TFT -ORDER O1,628,127041,27x10-12,RUNNERSOLID,BLACK,STD,8,3 LAYER,69,0.1051,6,0.63,414
28.06.2023,USA,126,USA-TFT -ORDER O1,628,135041,28x9-15,RUNNERSOLID,BLACK,STD,7,3 LAYER,57.8,0.1064,12,1.28,693.6
28.06.2023,USA,126,USA-TFT -ORDER O1,628,104042,18x7-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.8,0.0316,14,0.44,291.2
28.06.2023,USA,126,USA-TFT -ORDER O1,628,112042,21x8-9,RUNNERSOLID,BLACK,CLIP,6,3 LAYER,33.5,0.0494,14,0.69,469
28.06.2023,USA,126,USA-TFT -ORDER O1,628,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,23.1,0.0394,6,0.24,138.6
28.06.2023,USA,126,USA-TFT -ORDER O1,628,127042,27x10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.6,0.1051,6,0.63,417.6
28.06.2023,USA,126,USA-TFT -ORDER O1,628,119044,6.50-10,RUNNERSOLID,NM-Lt. CREAM,CLIP,5,3 LAYER,35.8,0.0523,12,0.63,429.6
