date,Customer,wono,ref,erp,icode,t_size,brand,fit,col,rim,cons,fweight,ptv,new,cbm,kgs
28.06.2023,ISRL-KST,128,OREDR 26,620,103161,16x6- 8 (WIDE),ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER,16.3,0.0257,6,0.154,97.8
28.06.2023,ISRL-KST,128,OREDR 26,620,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER,17.4,0.0263,6,0.158,104.4
28.06.2023,ISRL-KST,128,OREDR 26,620,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26.4,0.0383,24,0.919,633.6
28.06.2023,ISRL-KST,128,OREDR 26,620,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,30,2.073,1371
28.06.2023,ISRL-KST,128,OREDR 26,620,142011,7.00-15,ACHIEVER PLUS,BLACK,STD,6,3 LAYER,58.7,0.1107,6,0.664,352.2
28.06.2023,ISRL-KST,128,OREDR 26,620,135011,8.15-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER,59.3,0.1024,4,0.41,237.2
28.06.2023,ISRL-KST,128,OREDR 26,620,155011,12.00-20,ACHIEVER PLUS,BLACK,STD,8,3 LAYER,203.9,0.3074,6,1.844,1223.4
28.06.2023,ISRL-KST,128,OREDR 26,620,156011,12.00-20,ACHIEVER PLUS,BLACK,STD,8.5,3 LAYER,204.7,0.3074,8,2.459,1637.6
28.06.2023,ISRL-KST,128,OREDR 26,620,101162,15x4 1/2- 8 (WIDE),ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER,9.9,0.0161,90,1.449,891
28.06.2023,ISRL-KST,128,OREDR 26,620,120162,23x9- 10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,46.8,0.068,20,1.36,936
28.06.2023,ISRL-KST,128,OREDR 26,620,134012,2.50-15,ACHIEVER PLUS,BLACK,CLIP,7.5,3 LAYER,67.5,0.1103,14,1.544,945
28.06.2023,ISRL-KST,128,OREDR 26,620,102162,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER,17.6,0.0263,10,0.263,176
28.06.2023,ISRL-KST,128,OREDR 26,620,119162,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,35.4,0.0508,50,2.54,1770
28.06.2023,ISRL-KST,128,OREDR 26,620,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,31,2.142,1429.1
28.06.2023,ISRL-KST,128,OREDR 26,620,142012,7.00-15,ACHIEVER PLUS,BLACK,CLIP,6,3 LAYER,59,0.0943,8,0.754,472
28.06.2023,ISRL-KST,128,OREDR 26,620,135012,8.15-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,60.3,0.1024,20,2.048,1206
28.06.2023,ISRL-KST,128,OREDR 26,620,136012,28x12 1/2- 15 ,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER,84.2,0.1354,10,1.354,842
28.06.2023,ISRL-KST,128,OREDR 26,620,139162,3.00-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,109.2,0.1701,30,5.103,3276
28.06.2023,ISRL-KST,128,OREDR 26,620,140012,355/65-15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER,124.8,0.1852,6,1.111,748.8
28.06.2023,ISRL-KST,128,OREDR 26,620,104014,18x7- 8 ,ACHIEVER PLUS, NON- MARKING ,CLIP,4.33,3 LAYER,20.4,0.0303,8,0.242,163.2
28.06.2023,ISRL-KST,128,OREDR 26,620,103041,16x6- 8 ,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,16.4,0.0263,6,0.158,98.4
28.06.2023,ISRL-KST,128,OREDR 26,620,101042,15x4 1/2- 8 ,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,10.3,0.0171,14,0.239,144.2
28.06.2023,ISRL-KST,128,OREDR 26,620,110042,140/55-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.3,0.0186,16,0.298,164.8
28.06.2023,ISRL-KST,128,OREDR 26,620,120042,23x9- 10 ,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,6,0.394,268.2
