date,Customer,wono,ref,erp,icode,t_size,brand,fit,col,rim,cons,fweight,ptv,new,cbm,kgs
07.07.2023,AUS,130,AUS/TFY- CONTAINER 14 (R),505,103161,16x6-8  (WIDE),ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,16.3,0.0257,20,0.514,326
07.07.2023,AUS,130,AUS/TFY- CONTAINER 14 (R),505,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER ,17.4,0.0263,40,1.052,696
07.07.2023,AUS,130,AUS/TFY- CONTAINER 14 (R),505,104011,18x7-8,ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,20.8,0.0303,30,0.909,624
07.07.2023,AUS,130,AUS/TFY- CONTAINER 14 (R),505,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER ,26.4,0.0383,90,3.447,"2,376.00"
07.07.2023,AUS,130,AUS/TFY- CONTAINER 14 (R),505,112161,21x8-9 (WIDE),ACHIEVER PLUS,BLACK,STD,6,3 LAYER ,34.4,0.049,20,0.98,688
07.07.2023,AUS,130,AUS/TFY- CONTAINER 14 (R),505,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,35.2,0.0508,50,2.54,"1,760.00"
07.07.2023,AUS,130,AUS/TFY- CONTAINER 14 (R),505,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,45.7,0.0691,80,5.528,"3,656.00"
07.07.2023,AUS,130,AUS/TFY- CONTAINER 14 (R),505,142011,7.00-15,ACHIEVER PLUS,BLACK,STD,6,3 LAYER ,58.7,0.0943,20,1.886,"1,174.00"
07.07.2023,AUS,130,AUS/TFY- CONTAINER 14 (R),505,135011,28x9-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,59.3,0.1024,10,1.024,593
07.07.2023,AUS,130,AUS/TFY- CONTAINER 14 (R),505,133011,2.50-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,64.6,0.1049,6,0.629,387.6
07.07.2023,AUS,130,AUS/TFY- CONTAINER 14 (R),505,138161,8.25-15 (WIDE),ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER ,92.2,0.1232,12,1.478,"1,106.40"
07.07.2023,AUS,130,AUS/TFY- CONTAINER 14 (R),505,139161,3.00-15 (WIDE),ACHIEVER PLUS,BLACK,STD,8,3 LAYER ,108.7,0.1701,6,1.021,652.2
07.07.2023,AUS,130,AUS/TFY- CONTAINER 14 (R),505,135012,28x9-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER ,60.3,0.1024,10,1.024,603
07.07.2023,AUS,130,AUS/TFY- CONTAINER 14 (R),505,103163,16x6-8  (WIDE),ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,15.8,0.0257,20,0.514,316
07.07.2023,AUS,130,AUS/TFY- CONTAINER 14 (R),505,102163,5.00-8 (WIDE),ACHIEVER PLUS,NM,STD,3,3 LAYER ,17,0.0263,20,0.526,340
07.07.2023,AUS,130,AUS/TFY- CONTAINER 14 (R),505,104013,18x7-8,ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,20.3,0.0303,20,0.606,406
07.07.2023,AUS,130,AUS/TFY- CONTAINER 14 (R),505,111163,6.00-9 (WIDE),ACHIEVER PLUS,NM,STD,5,3 LAYER ,25.7,0.0383,20,0.766,514
07.07.2023,AUS,130,AUS/TFY- CONTAINER 14 (R),505,112163,21x8-9 (WIDE),ACHIEVER PLUS,NM,STD,4,3 LAYER ,33.4,0.049,20,0.98,668
07.07.2023,AUS,130,AUS/TFY- CONTAINER 14 (R),505,125013,7.00-12,ACHIEVER PLUS,NM,STD,5,3 LAYER ,44.6,0.0691,20,1.382,892
07.07.2023,AUS,130,AUS/TFY- CONTAINER 14 (R),505,133013,2.50-15,ACHIEVER PLUS,NM,STD,7,3 LAYER ,62.8,0.1049,6,0.629,376.8
07.07.2023,AUS,130,AUS/TFY- CONTAINER 14 (R),505,141051,7.00-15,ROCKSOLID,BLACK,STD,5.5,3 LAYER,56.3,0.0946,10,0.946,563
07.07.2023,AUS,130,AUS/TFY- CONTAINER 14 (R),505,142051,7.00-15,ROCKSOLID,BLACK,STD,6,3 LAYER ,56.4,0.0946,20,1.892,"1,128.00"
07.07.2023,AUS,130,AUS/TFY- CONTAINER 14 (R),505,722071,22x8x16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,42.9,0.0652,6,0.391,257.4
07.07.2023,AUS,130,AUS/TFY- CONTAINER 14 (R),505,720073,21x8-15,RUNNERBAND,NM,SMOOTH,-,2 LAYER,40.5,0.0594,12,0.713,486
