date,Customer,wono,ref,erp,icode,t_size,brand,col,fit,rim,cons,fweight,ptv,new,cbm,kgs
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 14 (R),633,103161,16x6-8 (WIDE),ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER,16.3,0.0257,30,0.771,489
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 14 (R),633,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER,17.4,0.0263,40,1.052,696
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 14 (R),633,104011,18x7-8,ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER,20.8,0.0303,20,0.606,416
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 14 (R),633,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26.4,0.0383,80,3.064,"2,112.00"
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 14 (R),633,112161,21x8-9 (WIDE),ACHIEVER PLUS,BLACK,STD,6,3 LAYER,34.4,0.049,20,0.98,688
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 14 (R),633,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,60,3.048,"2,112.00"
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 14 (R),633,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,60,4.146,"2,742.00"
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 14 (R),633,142011,7.00-15,ACHIEVER PLUS,BLACK,STD,6,3 LAYER,58.7,0.0943,20,1.886,"1,174.00"
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 14 (R),633,135011,28x9-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER,59.3,0.1024,10,1.024,593
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 14 (R),633,133011,2.50-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER,64.6,0.1049,6,0.629,387.6
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 14 (R),633,119012,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,34.2,0.0508,10,0.508,342
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 14 (R),633,135012,28x9-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,60.3,0.1024,10,1.024,603
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 14 (R),633,103163,16x6-8 (WIDE),ACHIEVER PLUS,NM,STD,4.33,3 LAYER,15.8,0.0257,40,1.028,632
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 14 (R),633,102163,5.00-8 (WIDE),ACHIEVER PLUS,NM,STD,3,3 LAYER,17,0.0263,30,0.789,510
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 14 (R),633,104013,18x7-8,ACHIEVER PLUS,NM,STD,4.33,3 LAYER,20.3,0.0303,30,0.909,609
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 14 (R),633,111163,6.00-9 (WIDE),ACHIEVER PLUS,NM,STD,5,3 LAYER,25.7,0.0383,30,1.149,771
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 14 (R),633,112163,21x8-9 (WIDE),ACHIEVER PLUS,NM,STD,4,3 LAYER,33.4,0.049,20,0.98,668
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 14 (R),633,119163,6.50-10 (WIDE),ACHIEVER PLUS,NM,STD,5,3 LAYER,34,0.0508,20,1.016,680
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 14 (R),633,125013,7.00-12,ACHIEVER PLUS,NM,STD,6,3 LAYER,44.6,0.0691,20,1.382,892
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 14 (R),633,133013,2.50-15,ACHIEVER PLUS,NM,STD,7,3 LAYER,62.8,0.1049,6,0.629,376.8
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 14 (R),633,141051,7.00-15,ROCKSOLID,BLACK,STD,5.5,3 LAYER,56.3,0.0946,10,0.946,563
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 14 (R),633,142051,7.00-15,ROCKSOLID,BLACK,STD,6,3 LAYER,56.4,0.0946,20,1.892,"1,128.00"
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 14 (R),633,706071,15x5x11 1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,13.4,0.019,6,0.114,80.4
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 14 (R),633,714071,18x6x12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,22.8,0.0328,6,0.197,136.8
