date,Customer,wono,ref,erp,icode,t_size,brand,col,fit,rim,cons,fweight,ptv,new,cbm,kgs
23.07.2023,POR-TGP,134,POR-TGP-ORDER 02(R),635,103001,16 x 6 - 8,ACHIEVER,BLACK,STD,4.33,2 LAYER,15.7,0.0244,30,0.732,471
23.07.2023,POR-TGP,134,POR-TGP-ORDER 02(R),635,101002,15X4 1/2-8,ACHIEVER,BLACK,CLIP,3,2 LAYER,9.2,0.0147,60,0.882,552
23.07.2023,POR-TGP,134,POR-TGP-ORDER 02(R),635,110002,140/55 - 9,ACHIEVER,BLACK,CLIP,4,2 LAYER,10,0.0179,40,0.716,400
23.07.2023,POR-TGP,134,POR-TGP-ORDER 02(R),635,118002,200/50 - 10,ACHIEVER,BLACK,CLIP,6.5,2 LAYER,23.9,0.0388,24,0.9312,573.6
23.07.2023,POR-TGP,134,POR-TGP-ORDER 02(R),635,140002,355/65 - 15,ACHIEVER,BLACK,CLIP,9.75,2 LAYER,125.2,0.1852,6,1.1112,751.2
23.07.2023,POR-TGP,134,POR-TGP-ORDER 02(R),635,102243,500-8 (WIDE),ACHIEVER,NM,STD,3,2 LAYER,17.5,0.0263,24,0.6312,420
23.07.2023,POR-TGP,134,POR-TGP-ORDER 02(R),635,101004,15X4 1/2-8,ACHIEVER,NM,CLIP,3,2 LAYER,9.2,0.0147,120,1.764,"1,104.00"
23.07.2023,POR-TGP,134,POR-TGP-ORDER 02(R),635,110004,140 / 55 - 9,ACHIEVER,NM,CLIP,4,2 LAYER,10,0.0179,100,1.79,"1,000.00"
23.07.2023,POR-TGP,134,POR-TGP-ORDER 02(R),635,103004,16 x 6 - 8,ACHIEVER,NM,CLIP,4.33,2 LAYER,16,0.0244,30,0.732,480
23.07.2023,POR-TGP,134,POR-TGP-ORDER 02(R),635,104004,18 x 7- 8,ACHIEVER,NM,CLIP,4.33,2 LAYER,21,0.0303,200,6.06,"4,200.00"
23.07.2023,POR-TGP,134,POR-TGP-ORDER 02(R),635,118004,200/50 - 10,ACHIEVER,NM,CLIP,6.5,2 LAYER,23.9,0.0388,40,1.552,956
23.07.2023,POR-TGP,134,POR-TGP-ORDER 02(R),635,112004,21X8-9,ACHIEVER,NM,CLIP,6,2 LAYER,34.3,0.0478,24,1.1472,823.2
