date,Customer,wono,ref,erp,icode,t_size,brand,fit,col,rim,cons,fweight,ptv,new,cbm,kgs
17.07.2023,KOREA,0,KOR-NTC-12,636,100311,4.00-8,NEXEN,BLACK,STD,3,APPROVED NEXEN COMPOUND,10.82,0.0169,450,7.61,"4,869.00"
17.07.2023,KOREA,0,KOR-NTC-12,636,101301,15x4 1/2-8,NEXEN ALLPRO,BLACK,STD,3,APPROVED NEXEN COMPOUND,9.2,0.0158,255,4.03,2346
17.07.2023,KOREA,0,KOR-NTC-12,636,102301,5.00-8,NEXEN ALLPRO,BLACK,STD,3,APPROVED NEXEN COMPOUND,16.03,0.0244,500,12.2,8015
17.07.2023,KOREA,0,KOR-NTC-12,636,104301,18x7-8,NEXEN ALLPRO,BLACK,STD,4.33,APPROVED NEXEN COMPOUND,19.83,0.03,1000,30,19830
17.07.2023,KOREA,0,KOR-NTC-12,636,118301,200/50-10,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,23.67,0.0404,80,3.23,1893.6
17.07.2023,KOREA,0,KOR-NTC-12,636,111301,6.00-9,NEXEN ALLPRO,BLACK,STD,4,APPROVED NEXEN COMPOUND,25.6,0.0379,250,9.48,6400
17.07.2023,KOREA,0,KOR-NTC-12,636,112301,21x8-9,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,33.1,0.049,150,7.35,4965
17.07.2023,KOREA,0,KOR-NTC-12,636,119301,6.50-10,NEXEN ALLPRO,BLACK,STD,5,APPROVED NEXEN COMPOUND,35.5,0.0529,750,39.68,26625
17.07.2023,KOREA,0,KOR-NTC-12,636,120301,23x9-10,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,46.4,0.0682,132,9,6124.8
17.07.2023,KOREA,0,KOR-NTC-12,636,125301,7.00-12,NEXEN ALLPRO,BLACK,STD,5,APPROVED NEXEN COMPOUND,45.6,0.071,548,38.91,24988.8
17.07.2023,KOREA,0,KOR-NTC-12,636,126301,23x10-12,NEXEN ALLPRO,BLACK,STD,8,APPROVED NEXEN COMPOUND,49.9,0.0798,135,10.77,6736.5
17.07.2023,KOREA,0,KOR-NTC-12,636,135301,8.15-15,NEXEN ALLPRO,BLACK,STD,7,APPROVED NEXEN COMPOUND,58.5,0.1011,250,25.28,14625
17.07.2023,KOREA,0,KOR-NTC-12,636,141301,7.00-15,NEXEN ALLPRO,BLACK,STD,5.5,APPROVED NEXEN COMPOUND,56.35,0.0922,136,12.54,7663.6
17.07.2023,KOREA,0,KOR-NTC-12,636,171301,7.50-16,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,71.72,0.1162,147,17.08,10542.84
17.07.2023,KOREA,0,KOR-NTC-12,636,138301,8.25-15,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,85.05,0.1315,309,40.63,26280.45
17.07.2023,KOREA,0,KOR-NTC-12,636,139301,3.00-15,NEXEN ALLPRO,BLACK,STD,8,APPROVED NEXEN COMPOUND,107.75,0.1661,80,13.29,8620
17.07.2023,KOREA,0,KOR-NTC-12,636,101302,15x4 1/2-8,NEXEN ALLPRO,BLACK,CLIP,3,APPROVED NEXEN COMPOUND,9.42,0.0158,30,0.47,282.6
17.07.2023,KOREA,0,KOR-NTC-12,636,102302,5.00-8,NEXEN ALLPRO,BLACK,CLIP,3,APPROVED NEXEN COMPOUND,16.14,0.0244,50,1.22,807
17.07.2023,KOREA,0,KOR-NTC-12,636,104302,18x7-8,NEXEN ALLPRO,BLACK,CLIP,4.33,APPROVED NEXEN COMPOUND,20.07,0.03,306,9.18,6141.42
17.07.2023,KOREA,0,KOR-NTC-12,636,118302,200/50-10,NEXEN ALLPRO,BLACK,CLIP,6.5,APPROVED NEXEN COMPOUND,24.03,0.0404,50,2.02,1201.5
17.07.2023,KOREA,0,KOR-NTC-12,636,111302,6.00-9,NEXEN ALLPRO,BLACK,CLIP,4,APPROVED NEXEN COMPOUND,25.99,0.0379,15,0.57,389.85
17.07.2023,KOREA,0,KOR-NTC-12,636,112302,21x8-9,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,33.4,0.049,15,0.74,501
17.07.2023,KOREA,0,KOR-NTC-12,636,119302,6.50-10,NEXEN ALLPRO,BLACK,CLIP,5,APPROVED NEXEN COMPOUND,35.83,0.0529,120,6.35,4299.6
17.07.2023,KOREA,0,KOR-NTC-12,636,125302,7.00-12,NEXEN ALLPRO,BLACK,CLIP,5,APPROVED NEXEN COMPOUND,46.45,0.071,80,5.68,3716
17.07.2023,KOREA,0,KOR-NTC-12,636,126302,23x10-12,NEXEN ALLPRO,BLACK,STD,8,APPROVED NEXEN COMPOUND,50.31,0.0798,5,0.4,251.55
17.07.2023,KOREA,0,KOR-NTC-12,636,141302,7.00-15,NEXEN ALLPRO,BLACK,CLIP,5.5,APPROVED NEXEN COMPOUND,57,0.0943,20,1.89,1140
17.07.2023,KOREA,0,KOR-NTC-12,636,135302,8.15-15,NEXEN ALLPRO,BLACK,CLIP,7,APPROVED NEXEN COMPOUND,59.3,0.1011,70,7.08,4151
17.07.2023,KOREA,0,KOR-NTC-12,636,171302,7.50-16,NEXEN ALLPRO,BLACK,CLIP,6,APPROVED NEXEN COMPOUND,72.5,0.1162,3,0.35,217.5
17.07.2023,KOREA,0,KOR-NTC-12,636,138302,8.25-15,NEXEN ALLPRO,BLACK,CLIP,6.5,APPROVED NEXEN COMPOUND,85.5,0.1315,40,5.26,3420
