date,Customer,wono,ref,erp,icode,t_size,brand,fit,col,rim,cons,fweight,ptv,new,cbm,kgs
13.07.2023,POR-TGP,135,SIN/ ENG. HAUT/ ORDER 03,637,100001,4.00-8,ACHIEVER,BLACK,STD,3,2 LAYER,10.9,0.0166,40,0.664,436
13.07.2024,POR-TGP,135,SIN/ ENG. HAUT/ ORDER 04,637,111001,6.00-9,ACHIEVER,BLACK,STD,4,2 LAYER,26.6,0.0377,20,0.754,532
13.07.2025,POR-TGP,135,SIN/ ENG. HAUT/ ORDER 05,637,119241,6.50 - 10 (Wide wall),ACHIEVER,BLACK,STD,5,2 LAYER,35.6,0.0508,80,4.064,"2,848.00"
13.07.2026,POR-TGP,135,SIN/ ENG. HAUT/ ORDER 06,637,125001,7.00-12,ACHIEVER,BLACK,STD,5,2 LAYER,46.8,0.0691,100,6.91,"4,680.00"
13.07.2027,POR-TGP,135,SIN/ ENG. HAUT/ ORDER 07,637,135001,"28X9-15, 8.15-15",ACHIEVER,BLACK,STD,7,2 LAYER,59.6,0.1024,40,4.096,"2,384.00"
13.07.2028,POR-TGP,135,SIN/ ENG. HAUT/ ORDER 08,637,133001,2.50-15,ACHIEVER,BLACK,STD,7,2 LAYER,65.6,0.1049,6,0.6294,393.6
13.07.2029,POR-TGP,135,SIN/ ENG. HAUT/ ORDER 09,637,138241,8.25-15 (Wide wall),ACHIEVER,BLACK,STD,6.5,2 LAYER,92.9,0.1358,40,5.432,"3,716.00"
13.07.2030,POR-TGP,135,SIN/ ENG. HAUT/ ORDER 10,637,151001,9.00 - 20,ACHIEVER,BLACK,STD,7,2 LAYER,128.1,0.204,5,1.02,640.5
13.07.2031,POR-TGP,135,SIN/ ENG. HAUT/ ORDER 11,637,118002,200/50-10,ACHIEVER,BLACK,CLIP,6.5,2 LAYER,23.9,0.0388,16,0.6208,382.4
13.07.2032,POR-TGP,135,SIN/ ENG. HAUT/ ORDER 12,637,126002,23X10-12,ACHIEVER,BLACK,CLIP,8,2 LAYER,51.2,0.0774,10,0.774,512
13.07.2033,POR-TGP,135,SIN/ ENG. HAUT/ ORDER 13,637,167341,36X14-20,SKID SOLID,BLACK,STD,7.5,2 LAYER,131,0.265,20,5.3,"2,620.00"
