date,Customer,wono,ref,erp,icode,t_size,brand,col,fit,rim,cons,fweight,ptv,new,cbm,kgs
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,153001,10.00-20,ACHIEVER,BLACK,STD,7.5,2 LAYER,157.7,0.246,8,1.968,"1,261.60"
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,156001,12.00-20,ACHIEVER,BLACK,STD,8.5,2 LAYER,207.4,0.3074,8,2.4592,"1,659.20"
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,152221,10.00-20(CW),ACHIEVER,BLACK,STD,7,2 LAYER,206,0.246,16,3.936,"3,296.00"
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER,17.4,0.0263,14,0.3682,243.6
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,111011,6.00-9,ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26,0.0377,16,0.6032,416
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,119011,6.50-10,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,33.7,0.0488,10,0.488,337
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,10,0.691,457
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,101012,15 x 4.5 - 8 (125/75-8),ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER,9.2,0.0147,10,0.147,92
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,110012,140/55-9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,10,0.0179,10,0.179,100
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,103012,16 x 6 - 8 (150/75-8),ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,16,0.0244,10,0.244,160
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,104012,18 x 7 - 8,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,34,1.0302,710.6
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,119012,6.50-10,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,34.2,0.0488,56,2.7328,"1,915.20"
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,120012,23 x 9 - 10 (225/75-10),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,44.5,0.0627,24,1.5048,"1,068.00"
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,10,0.691,461
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,135012,8.15 - 15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,60.3,0.1024,4,0.4096,241.2
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,133012,2.50 - 15(250/70-15),ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,65.2,0.1049,22,2.3078,"1,434.40"
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,127012,27 x 10 - 12(250/75-12),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,73.4,0.1066,14,1.4924,"1,027.60"
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,138012,8.25-15,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,81.3,0.1232,8,0.9856,650.4
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,139012,300 - 15(315/70-15),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,103.5,0.1563,4,0.6252,414
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,110014,140/55-9,ACHIEVER PLUS,NM,CLIP,4,3 LAYER,9.85,0.0179,10,0.179,98.5
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,103014,16 x 6 - 8 (150/75-8),ACHIEVER PLUS,NM,CLIP,4.33,3 LAYER,15.4,0.0244,10,0.244,154
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,104014,18 x 7-8 (180/70-8),ACHIEVER PLUS,NM,CLIP,4.33,3 LAYER,20.4,0.0303,24,0.7272,489.6
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,118014,200/50-10,ACHIEVER PLUS,NM,CLIP,6.5,3 LAYER,23.6,0.0388,10,0.388,236
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,112014,21 x 8 - 9 (200/75-9),ACHIEVER PLUS,NM,CLIP,6,3 LAYER,32.8,0.0478,2,0.0956,65.6
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,23.1,0.0394,6,0.2364,138.6
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,126042,23 x 10 - 12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,47.1,0.0764,2,0.1528,94.2
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,127042,27 x 10 - 12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.6,0.1051,4,0.4204,278.4
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,136052,28 x 12 1/2 - 15,ROCKSOLID,BLACK,CLIP,9.75,3 LAYER,77.1,0.1365,2,0.273,154.2
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,737071,22 x10 x 16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,54.6,0.0815,3,0.2445,163.8
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,740071,28 x10 x 22,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,69.5,0.1288,2,0.2576,139
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,742071,22 x14 x 16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,77.4,0.1142,8,0.9136,619.2
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,746071,33x14 x 22,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,155.4,0.2512,1,0.2512,155.4
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,711072,16 x 6 x 10 1/2,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,19.1,0.0259,2,0.0518,38.2
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,712072,16 x 7 x 10 1/2,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,22.9,0.0302,0,0,-
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,730073,16 1/4 x 7 x 11 1/4,RUNNERBAND,NM,SMOOTH,-,2 LAYER,22.5,0.0312,2,0.0624,45
19.07.2023,POLAND,144(R),POLAND-DIR-Order 06,646,730074,16 1/4 x 7 x 11 1/4,RUNNERBAND,NM,TRACTION,-,2 LAYER,22.2,0.0312,2,0.0624,44.4
