date,Customer,wono,ref,erp,icode,t_size,brand,fit,col,rim,cons,fweight,ptv,new,cbm,kgs
16.07.2023,,145,AZE-LOK-ORDER 02,647,101002,15X4 1/2-8,ACHIEVER,BLACK,CLIP,3,2 LAYER,9.2,0.0147,12,0.1764,110.4
16.07.2023,,145,AZE-LOK-ORDER 02,647,103002,16X6-8,ACHIEVER,BLACK,CLIP,4.33,2 LAYER,16,0.0244,12,0.2928,192
16.07.2023,,145,AZE-LOK-ORDER 02,647,104002,18X7-8,ACHIEVER,BLACK,CLIP,4.33,2 LAYER,20.9,0.0303,12,0.3636,250.8
16.07.2023,,145,AZE-LOK-ORDER 02,647,102242,5.00 - 8(Wide wall),ACHIEVER,BLACK,CLIP,3,2 LAYER,17.9,0.0263,12,0.3156,214.8
16.07.2023,,145,AZE-LOK-ORDER 02,647,112002,21X8- 9,ACHIEVER,BLACK,CLIP,6,2 LAYER,34.2,0.0478,4,0.1912,136.8
16.07.2023,,145,AZE-LOK-ORDER 02,647,111002,6.00 - 9,ACHIEVER,BLACK,CLIP,4,2 LAYER,26.8,0.0377,12,0.4524,321.6
16.07.2023,,145,AZE-LOK-ORDER 02,647,118002,200/50 - 10,ACHIEVER,BLACK,CLIP,6.5,2 LAYER,23.9,0.0388,10,0.388,239
16.07.2023,,145,AZE-LOK-ORDER 02,647,119242,6.50 - 10(Wide wall),ACHIEVER,BLACK,CLIP,5,2 LAYER,36.3,0.0508,20,1.016,726
16.07.2023,,145,AZE-LOK-ORDER 02,647,120242,23X9-10(Wide wall),ACHIEVER,BLACK,CLIP,6.5,2 LAYER,47,0.068,16,1.088,752
16.07.2023,,145,AZE-LOK-ORDER 02,647,125002,7.00 - 12,ACHIEVER,BLACK,CLIP,5,2 LAYER,47.3,0.0691,16,1.1056,756.8
16.07.2023,,145,AZE-LOK-ORDER 02,647,126002,23X10-12,ACHIEVER,BLACK,CLIP,8,2 LAYER,51.2,0.0774,12,0.9288,614.4
16.07.2023,,145,AZE-LOK-ORDER 02,647,127002,27X10-12,ACHIEVER,BLACK,CLIP,8,2 LAYER,74.7,0.1066,8,0.8528,597.6
16.07.2023,,145,AZE-LOK-ORDER 02,647,135002,"28X9-15, 8.15-15",ACHIEVER,BLACK,CLIP,7,2 LAYER,60.3,0.1024,28,2.8672,"1,688.40"
16.07.2023,,145,AZE-LOK-ORDER 02,647,138242,8.25 - 15(Wide wall),ACHIEVER,BLACK,CLIP,6.5,2 LAYER,93.5,0.1358,25,3.395,"2,337.50"
16.07.2023,,145,AZE-LOK-ORDER 02,647,139242,3.00-15(Wide wall),ACHIEVER,BLACK,CLIP,8,2 LAYER,110.3,0.1701,8,1.3608,882.4
16.07.2023,,145,AZE-LOK-ORDER 02,647,104041,18X7-8,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,20.5,0.0316,8,0.2528,164
16.07.2023,,145,AZE-LOK-ORDER 02,647,103042,16X6-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,16.6,0.0263,16,0.4208,265.6
16.07.2023,,145,AZE-LOK-ORDER 02,647,104042,18X7-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.8,0.0316,40,1.264,832
16.07.2023,,145,AZE-LOK-ORDER 02,647,112042,21X8- 9,RUNNERSOLID,BLACK,CLIP,6,3 LAYER,33.5,0.0494,8,0.3952,268
16.07.2023,,145,AZE-LOK-ORDER 02,647,111042,6.00 - 9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,27.1,0.039,12,0.468,325.2
16.07.2023,,145,AZE-LOK-ORDER 02,647,118042,200/50 - 10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,23.1,0.0394,24,0.9456,554.4
16.07.2023,,145,AZE-LOK-ORDER 02,647,119042,6.50 - 10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.3,0.0523,22,1.1506,776.6
16.07.2023,,145,AZE-LOK-ORDER 02,647,120042,23X9-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,8,0.5256,357.6
16.07.2023,,145,AZE-LOK-ORDER 02,647,125042,7.00 - 12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.8,0.0725,20,1.45,956
16.07.2023,,145,AZE-LOK-ORDER 02,647,126042,23X10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,47.1,0.0764,6,0.4584,282.6
16.07.2023,,145,AZE-LOK-ORDER 02,647,127042,27X10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.6,0.1051,6,0.6306,417.6
16.07.2023,,145,AZE-LOK-ORDER 02,647,135042,"28X9-15, 8.15-15",RUNNERSOLID,BLACK,CLIP,7,3 LAYER,58.7,0.1041,16,1.6656,939.2
16.07.2023,,145,AZE-LOK-ORDER 02,647,138042,8.25 - 15,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,85.5,0.1362,19,2.5878,"1,624.50"
16.07.2023,,145,AZE-LOK-ORDER 02,647,119044,6.50 - 10,RUNNERSOLID,NM,CLIP,5,2 LAYER,35.8,0.0523,6,0.3138,214.8
16.07.2023,,145,AZE-LOK-ORDER 02,647,126044,23X10-12,RUNNERSOLID,NM,CLIP,8,2 LAYER,47.5,0.0764,20,1.528,950
16.07.2023,,145,AZE-LOK-ORDER 02,647,166351,31x10x20 (Aperture) - CW,SKID SOLID,BLACK,STD - LEFT,7.5,2 LAYER,110.7,0.1446,2,0.2892,221.4
16.07.2023,,145,AZE-LOK-ORDER 02,647,166351,31x10x20 (Aperture) - CW,SKID SOLID,BLACK,STD- RIGHT,7.5,2 LAYER,110.7,0.1446,2,0.2892,221.4
16.07.2023,,145,AZE-LOK-ORDER 02,647,166361,31x10x20 (W/O Aperture) - CW,SKID SOLID,BLACK,STD - LEFT,7.5,2 LAYER,112.6,0.1446,2,0.2892,225.2
16.07.2023,,145,AZE-LOK-ORDER 02,647,166361,31x10x20 (W/O Aperture)- CW,SKID SOLID,BLACK,STD- RIGHT,7.5,2 LAYER,112.6,0.1446,2,0.2892,225.2
16.07.2023,,145,AZE-LOK-ORDER 02,647,163351,33x12x20 (Aperture) -CW,SKID SOLID,BLACK,STD - LEFT,7.5,2 LAYER,135,0.195,2,0.39,270
16.07.2023,,145,AZE-LOK-ORDER 02,647,163351,33x12x20 (Aperture) -CW,SKID SOLID,BLACK,STD- RIGHT,7.5,2 LAYER,135,0.195,2,0.39,270
16.07.2023,,145,AZE-LOK-ORDER 02,647,163361,33x12x20(W/O Aperture) - CW,SKID SOLID,BLACK,STD - LEFT,7.5,2 LAYER,138,0.195,2,0.39,276
16.07.2023,,145,AZE-LOK-ORDER 02,647,163361,33x12x20(W/O Aperture) - CW,SKID SOLID,BLACK,STD- RIGHT,7.5,2 LAYER,138,0.195,2,0.39,276
