date,Customer,wono,ref,erp,icode,t_size,brand,col,fit,rim,cons,fweight,ptv,new,cbm,kgs
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,104002,18 X 7 - 8,ACHIEVER,BLACK,CLIP,4.33,2 LAYER,20.9,0.0303,20,0.61,418
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,111002,6.00-9,ACHIEVER,BLACK,CLIP,4,2 LAYER,26.8,0.0377,4,0.15,107.2
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,120002,23 X 9 - 10,ACHIEVER,BLACK,CLIP,6.5,2 LAYER,46,0.0627,4,0.25,184
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,133002,2.50-15,ACHIEVER,BLACK,CLIP,7,2 LAYER,66.3,0.1049,4,0.42,265.2
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,127002,27 X 10 - 12,ACHIEVER,BLACK,CLIP,8,2 LAYER,74.7,0.1066,4,0.43,298.8
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,136002,28 X 12 1/2 - 15,ACHIEVER,BLACK,CLIP,9.75,2 LAYER,84.4,0.1354,4,0.54,337.6
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,138002,8.25 x 15,ACHIEVER,BLACK,CLIP,6.5,2 LAYER,84.5,0.1232,6,0.74,507
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,119003,6.50 X 10,ACHIEVER,N/M (Off White),STD,5,2 LAYER,34.4,0.0488,6,0.29,206.4
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,111004,6.00-9,ACHIEVER,NM-Off White,CLIP,4,2 LAYER,26.8,0.0377,4,0.15,107.2
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,110004,140 / 55 - 9,ACHIEVER,NM-Off White,CLIP,4,2 LAYER,10,0.0179,12,0.21,120
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,104004,18 X 7 - 8,ACHIEVER,NM-Off White,CLIP,4.33,2 LAYER,21,0.0303,20,0.61,420
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,118004,200 / 50 - 10,ACHIEVER,NM-Off White,CLIP,6.5,2 LAYER,23.9,0.0388,10,0.39,239
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,120004,23 X 9 - 10,ACHIEVER,NM-Off White,CLIP,6.5,2 LAYER,46.2,0.0627,4,0.25,184.8
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,135004,8.15 x 15,ACHIEVER,NM-Off White,CLIP,7,2 LAYER,60.8,0.1024,2,0.2,121.6
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER,17.4,0.0232,8,0.19,139.2
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,111011,6.00 X 9,ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26,0.0377,6,0.23,156
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,119011,6.50 X 10,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,33.7,0.0488,16,0.78,539.2
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,125011,7.00 - 12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,6,0.41,274.2
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,101012,15 X 4 1/2 - 8,ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER,9.2,0.0147,10,0.15,92
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,103012,16 X 6 - 8,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,16,0.0244,10,0.24,160
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,104012,18 X 7 - 8,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,10,0.3,209
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,110012,140/55-9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,10,0.0179,8,0.14,80
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,118012,200 / 50 - 10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,23.9,0.0388,22,0.85,525.8
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,133012,2.50-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,65.2,0.1049,8,0.84,521.6
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,111012,6.00 X 9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,26.4,0.0377,7,0.26,184.8
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,120012,23 X 9 - 10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,44.5,0.0627,4,0.25,178
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,125012,7.00 X 12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,8,0.55,368.8
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,126012,23 X 10 - 12,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,50.7,0.0774,4,0.31,202.8
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,135012,8.15 x 15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,60.3,0.1024,14,1.43,844.2
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,138012,8.25 x 15,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,81.3,0.1232,6,0.74,487.8
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,136012,28 X 12 1/2 - 15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER,84.2,0.1354,4,0.54,336.8
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,139012,3.00 X 15,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,103.5,0.1563,8,1.25,828
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,102163,5.00-8 (WIDE),ACHIEVER PLUS,NM-Off White,STD,3,3 LAYER,17,0.0232,6,0.14,102
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,111013,6.00 X 9,ACHIEVER PLUS,NM-Off White,STD,4,3 LAYER,25.4,0.0377,4,0.15,101.6
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,101014,15 X 4 1/2 - 8,ACHIEVER PLUS,NM-Off White,CLIP,3,3 LAYER,9.2,0.0147,17,0.25,156.4
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,110014,140/55-9,ACHIEVER PLUS,NM-Off White,CLIP,4,3 LAYER,9.85,0.0179,14,0.25,137.9
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,103014,16 X 6 - 8,ACHIEVER PLUS,NM-Off White,CLIP,4.33,3 LAYER,15.4,0.0244,10,0.24,154
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,104014,18 X 7 - 8,ACHIEVER PLUS,NM-Off White,CLIP,4.33,3 LAYER,20.4,0.0303,20,0.61,408
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,118014,200 / 50 - 10,ACHIEVER PLUS,NM-Off White,CLIP,6.5,3 LAYER,23.6,0.0388,10,0.39,236
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,111014,6.00 X 9,ACHIEVER PLUS,NM-Off White,CLIP,4,3 LAYER,26.4,0.0377,4,0.15,105.6
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,120014,23 X 9 - 10,ACHIEVER PLUS,NM-Off White,CLIP,6.5,3 LAYER,43.6,0.0627,10,0.63,436
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,125014,7.00 X 12,ACHIEVER PLUS,NM-Off White,CLIP,5,3 LAYER,45.3,0.0691,10,0.69,453
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,126014,23 X 10 - 12,ACHIEVER PLUS,NM-Off White,CLIP,8,3 LAYER,49.7,0.0774,8,0.62,397.6
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,135014,8.15 x 15,ACHIEVER PLUS,NM-Off White,CLIP,7,3 LAYER,59.2,0.1024,6,0.61,355.2
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,136014,28 X 12 1/2 - 15,ACHIEVER PLUS,NM-Off White,CLIP,9.75,3 LAYER,81.3,0.1354,2,0.27,162.6
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,102041,5.00-8 X 10,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,4,0.1,68.4
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,119041,6.50 X 10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.9,0.0523,17,0.89,593.3
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,125041,7.00 X 12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,6,0.44,281.4
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,103042,16 X 6 - 8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,16.6,0.0263,12,0.32,199.2
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,125042,7.00 X 12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.8,0.0725,8,0.58,382.4
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,127042,27 X 10 - 12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.6,0.1051,4,0.42,278.4
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,102043,5.00-8 X 10,RUNNERSOLID,NM-Lt.Cream,STD,3,3 LAYER,17.2,0.0259,4,0.1,68.8
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,118044,200 / 50 - 10,RUNNERSOLID,NM-Lt.Cream,CLIP,6.5,3 LAYER,23.4,0.0394,32,1.26,748.8
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,103044,16 X 6 - 8,RUNNERSOLID,NM-Lt.Cream,CLIP,4.33,3 LAYER,16.8,0.0263,4,0.11,67.2
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,126044,23 X 10 - 12,RUNNERSOLID,NM-Lt.Cream,CLIP,8,3 LAYER,47.5,0.0764,4,0.31,190
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,127044,27 X 10 - 12,RUNNERSOLID,NM-Lt.Cream,CLIP,8,3 LAYER,70.3,0.1051,4,0.42,281.2
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,135052,8.15 x 15,ROCKSOLID,BLACK,CLIP,7,3 LAYER,60.6,0.1064,4,0.43,242.4
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,136052,28 X 12 1/2 - 15,ROCKSOLID,BLACK,CLIP,9.75,3 LAYER,77.1,0.1365,4,0.55,308.4
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,138052,8.25 x 15,ROCKSOLID,BLACK,CLIP,6.5,3 LAYER,89.2,0.1385,6,0.83,535.2
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,166321,31x10-20 (WAP) , SKID SOLID,BLACK,STD,7.5,2 LAYER,62.7,0.1446,6,0.87,376.2
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,165321,31x10-16 (WAP) , SKID SOLID,BLACK,STD,6,2 LAYER,74.8,0.1446,5,0.72,374
15.08.2023,TUK-FFL,147-R1,TURKEY OREDR 17(R),651,163321,33x12-20 (WAP) , SKID SOLID,BLACK,STD,7.5,2 LAYER,89.8,0.1982,10,1.98,898
