date,Customer,wono,ref,erp,icode,t_size,brand,fit,col,rim,cons,fweight,ptv,new,cbm,kgs
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,102241,5.00-8 (WIDE),ACHIEVER,BLACK,STD,3,2 LAYER,17.5,0.0232,8,0.19,140.00
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,111001,6.00-9,ACHIEVER,BLACK,STD,4,2 LAYER,26.6,0.0377,2,0.08,53.2
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,119001,6.50 X 10,ACHIEVER,BLACK,STD,5,2 LAYER,34,0.0488,10,0.49,340
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,125001,7.00 X 12,ACHIEVER,BLACK,STD,5,2 LAYER,46.8,0.0691,6,0.41,280.8
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,104002,18 X 7 - 8,ACHIEVER,BLACK,CLIP,4.33,2 LAYER,20.9,0.0303,20,0.61,418
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,111002,6.00-9,ACHIEVER,BLACK,CLIP,4,2 LAYER,26.8,0.0377,8,0.3,214.4
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,112002,21 X 8 - 9,ACHIEVER,BLACK,CLIP,6,2 LAYER,34.2,0.0478,3,0.14,102.6
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,120002,23 X 9 - 10,ACHIEVER,BLACK,CLIP,6.5,2 LAYER,46,0.0627,10,0.63,460
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,125002,7.00 X 12,ACHIEVER,BLACK,CLIP,5,2 LAYER,47.3,0.0691,4,0.28,189.2
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,126002,23 X 10 - 12,ACHIEVER,BLACK,CLIP,8,2 LAYER,51.2,0.0774,3,0.23,153.6
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,135002,8.15 x 15,ACHIEVER,BLACK,CLIP,7,2 LAYER,60.3,0.1024,13,1.33,783.9
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,133002,2.50-15,ACHIEVER,BLACK,CLIP,7,2 LAYER,66.3,0.1049,4,0.42,265.2
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,127002,27 X 10 - 12,ACHIEVER,BLACK,CLIP,8,2 LAYER,74.7,0.1066,4,0.43,298.8
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,136002,28 X 12 1/2 - 15,ACHIEVER,BLACK,CLIP,9.75,2 LAYER,84.4,0.1354,4,0.54,337.6
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,138002,8.25 x 15,ACHIEVER,BLACK,CLIP,6.5,2 LAYER,84.5,0.1232,12,1.48,"1,014.00"
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,102243,5.00-8 (WIDE),ACHIEVER,N/M (Off White),STD,3,2 LAYER,17,0.0232,10,0.23,170
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,111003,6.00-9,ACHIEVER,N/M (Off White),STD,4,2 LAYER,26.4,0.0377,2,0.08,52.8
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,119003,6.50 X 10,ACHIEVER,N/M (Off White),STD,5,2 LAYER,34.4,0.0488,4,0.2,137.6
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,125003,7.00 X 12,ACHIEVER,N/M (Off White),STD,5,2 LAYER,46.8,0.0691,6,0.41,280.8
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,110004,140 / 55 - 9,ACHIEVER,NM-Off White,CLIP,4,2 LAYER,10,0.0179,20,0.36,200
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,104004,18 X 7 - 8,ACHIEVER,NM-Off White,CLIP,4.33,2 LAYER,21,0.0303,20,0.61,420
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,118004,200 / 50 - 10,ACHIEVER,NM-Off White,CLIP,6.5,2 LAYER,23.9,0.0388,20,0.78,478
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,111004,6.00-9,ACHIEVER,NM-Off White,CLIP,4,2 LAYER,26.8,0.0377,10,0.38,268
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,119004,6.50 X 10,ACHIEVER,NM-Off White,CLIP,5,2 LAYER,34.8,0.0488,2,0.1,69.6
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,120004,23 X 9 - 10,ACHIEVER,NM-Off White,CLIP,6.5,2 LAYER,46.2,0.0627,10,0.63,462
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,125004,7.00 X 12,ACHIEVER,NM-Off White,CLIP,5,2 LAYER,47.2,0.0691,4,0.28,188.8
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,138004,8.25 x 15,ACHIEVER,NM-Off White,CLIP,6.5,2 LAYER,84.4,0.1232,2,0.25,168.8
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER,17.4,0.0232,4,0.09,69.6
