date,Customer,wono,ref,erp,icode,t_size,brand,col,fit,rim,cons,fweight,ptv,new,cbm,kgs
27.07.2023,AUS-TFY,151,,655,103161,16x6-8  (WIDE),ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,16.3,0.0257,30,0.771,489
27.07.2023,AUS-TFY,151,,655,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER ,17.4,0.0263,40,1.052,696
27.07.2023,AUS-TFY,151,,655,104011,18x7-8,ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,20.8,0.0303,30,0.909,624
27.07.2023,AUS-TFY,151,,655,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER ,26.4,0.0383,80,3.064,"2,112.00"
27.07.2023,AUS-TFY,151,,655,112161,21x8-9 (WIDE),ACHIEVER PLUS,BLACK,STD,6,3 LAYER ,34.4,0.049,12,0.588,412.8
27.07.2023,AUS-TFY,151,,655,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,35.2,0.0508,60,3.048,"2,112.00"
27.07.2023,AUS-TFY,151,,655,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,45.7,0.0691,80,5.528,"3,656.00"
27.07.2023,AUS-TFY,151,,655,142011,7.00-15,ACHIEVER PLUS,BLACK,STD,6,3 LAYER ,58.7,0.0943,10,0.943,587.00
27.07.2023,AUS-TFY,151,,655,135011,28x9-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,59.3,0.1024,6,0.614,355.8
27.07.2023,AUS-TFY,151,,655,133011,2.50-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,64.6,0.1049,6,0.629,387.6
27.07.2023,AUS-TFY,151,,655,134011,2.50-15,ACHIEVER PLUS,BLACK,STD,7.5,3 LAYER ,66.6,0.1103,6,0.662,399.6
27.07.2023,AUS-TFY,151,,655,139161,3.00-15 (WIDE),ACHIEVER PLUS,BLACK,STD,8,3 LAYER ,108.7,0.1701,6,1.021,652.20
27.07.2023,AUS-TFY,151,,655,156011,12.00-20,ACHIEVER PLUS,BLACK,STD,8.5,3 LAYER ,204.7,0.3074,6,1.844,"1,228.20"
27.07.2023,AUS-TFY,151,,655,119162,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER ,35.4,0.0508,10,0.508,354
27.07.2023,AUS-TFY,151,,655,135012,28x9-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER ,60.3,0.1024,4,0.41,241.20
27.07.2023,AUS-TFY,151,,655,103163,16x6-8  (WIDE),ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,15.8,0.0257,40,1.028,632
27.07.2023,AUS-TFY,151,,655,102163,5.00-8 (WIDE),ACHIEVER PLUS,NM,STD,3,3 LAYER ,17,0.0263,30,0.789,510
27.07.2023,AUS-TFY,151,,655,104013,18x7-8,ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,20.3,0.0303,10,0.303,203
27.07.2023,AUS-TFY,151,,655,111163,6.00-9 (WIDE),ACHIEVER PLUS,NM,STD,5,3 LAYER ,25.7,0.0383,30,1.149,771
27.07.2023,AUS-TFY,151,,655,112163,21x8-9 (WIDE),ACHIEVER PLUS,NM,STD,4,3 LAYER ,33.4,0.049,10,0.49,334
27.07.2023,AUS-TFY,151,,655,119013,6.50-10 (WIDE),ACHIEVER PLUS,NM,STD,5,3 LAYER ,32.3,0.0508,20,1.016,646
27.07.2023,AUS-TFY,151,,655,125013,7.00-12,ACHIEVER PLUS,NM,STD,5,3 LAYER ,44.6,0.0691,20,1.382,892
27.07.2023,AUS-TFY,151,,655,133013,2.50-15,ACHIEVER PLUS,NM,STD,7,3 LAYER ,62.8,0.1049,6,0.629,376.8
27.07.2023,AUS-TFY,151,,655,141051,7.00-15,ROCKSOLID,BLACK,STD,5.5,3 LAYER,56.3,0.0946,6,0.568,337.8
27.07.2023,AUS-TFY,151,,655,142051,7.00-15,ROCKSOLID,BLACK,STD,6,3 LAYER ,56.4,0.0946,6,0.568,338.4
27.07.2023,AUS-TFY,151,,655,715071,18x7-12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,26.3,0.0382,6,0.229,157.8
27.07.2023,AUS-TFY,151,,655,720071,21x8x15,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,40.8,0.0594,6,0.356,244.8
27.07.2023,AUS-TFY,151,,655,719072,21x7x15,RUNNERBAND,BLACK,TRACTION,,2 LAYER,34.7,0.052,6,0.312,208.2
27.07.2023,AUS-TFY,151,,655,720073,21x8-15,RUNNERBAND,NM,SMOOTH,-,2 LAYER,40.9,0.0594,6,0.356,245.4
