date,Customer,wono,ref,erp,icode,t_size,brand,col,fit,rim,cons,fweight,ptv,new,cbm,kgs
30.07.2023,AUS-TFY,152,c17,656,103161,16x6-8  (WIDE),ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,16.3,0.0257,20,0.514,326
30.07.2023,AUS-TFY,152,c17,656,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER ,17.4,0.0263,40,1.052,696
30.07.2023,AUS-TFY,152,c17,656,104011,18x7-8,ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,20.8,0.0303,20,0.606,416
30.07.2023,AUS-TFY,152,c17,656,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER ,26.4,0.0383,100,3.83,"2,640.00"
30.07.2023,AUS-TFY,152,c17,656,112161,21x8-9 (WIDE),ACHIEVER PLUS,BLACK,STD,6,3 LAYER ,34.4,0.049,12,0.588,412.8
30.07.2023,AUS-TFY,152,c17,656,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,35.2,0.0508,60,3.048,"2,112.00"
30.07.2023,AUS-TFY,152,c17,656,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,45.7,0.0691,100,6.91,"4,570.00"
30.07.2023,AUS-TFY,152,c17,656,142011,7.00-15,ACHIEVER PLUS,BLACK,STD,6,3 LAYER ,58.7,0.0943,10,0.943,587
30.07.2023,AUS-TFY,152,c17,656,135011,28x9-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,59.3,0.1024,6,0.614,355.8
30.07.2023,AUS-TFY,152,c17,656,133011,2.50-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,64.6,0.1049,6,0.629,387.6
30.07.2023,AUS-TFY,152,c17,656,139161,3.00-15 (WIDE),ACHIEVER PLUS,BLACK,STD,8,3 LAYER ,108.7,0.1701,6,1.021,652.2
30.07.2023,AUS-TFY,152,c17,656,153161,10.00-20 (WIDE),ACHIEVER PLUS,BLACK,STD,7.5,3 LAYER ,167.3,0.2622,10,2.622,"1,673.00"
30.07.2023,AUS-TFY,152,c17,656,138161,8.25-15 (WIDE),ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER ,90.6,0.1358,12,1.63,"1,087.20"
30.07.2023,AUS-TFY,152,c17,656,135012,28x9-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER ,60.3,0.1024,4,0.41,241.2
30.07.2023,AUS-TFY,152,c17,656,103163,16x6-8  (WIDE),ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,15.8,0.0257,20,0.514,316
30.07.2023,AUS-TFY,152,c17,656,102163,5.00-8 (WIDE),ACHIEVER PLUS,NM,STD,3,3 LAYER ,17,0.0263,20,0.526,340
30.07.2023,AUS-TFY,152,c17,656,104013,18x7-8,ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,20.3,0.0303,10,0.303,203
30.07.2023,AUS-TFY,152,c17,656,111163,6.00-9 (WIDE),ACHIEVER PLUS,NM,STD,4,3 LAYER ,25.7,0.0383,20,0.766,514
30.07.2023,AUS-TFY,152,c17,656,112163,21x8-9 (WIDE),ACHIEVER PLUS,NM,STD,6,3 LAYER ,33.4,0.049,10,0.49,334
30.07.2023,AUS-TFY,152,c17,656,119013,6.50-10 (WIDE),ACHIEVER PLUS,NM,STD,5,3 LAYER ,32.3,0.0508,20,1.016,646
30.07.2023,AUS-TFY,152,c17,656,125013,7.00-12,ACHIEVER PLUS,NM,STD,5,3 LAYER ,44.6,0.0691,20,1.382,892
30.07.2023,AUS-TFY,152,c17,656,133013,2.50-15,ACHIEVER PLUS,NM,STD,7,3 LAYER ,62.8,0.1049,6,0.629,376.8
30.07.2023,AUS-TFY,152,c17,656,141051,7.00-15,ROCKSOLID,BLACK,STD,5.5,3 LAYER,56.3,0.0946,6,0.568,337.8
30.07.2023,AUS-TFY,152,c17,656,142051,7.00-15,ROCKSOLID,BLACK,STD,6,3 LAYER ,56.4,0.0946,6,0.568,338.4
30.07.2023,AUS-TFY,152,c17,656,709071,16 1/4x 6x11 1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,19.3,0.0267,6,0.16,115.8
30.07.2023,AUS-TFY,152,c17,656,715071,18x7x12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,26.3,0.0382,6,0.229,157.8
30.07.2023,AUS-TFY,152,c17,656,720071,21x8x15,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,40.8,0.0594,6,0.356,244.8
30.07.2023,AUS-TFY,152,c17,656,719072,21x7x15,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,34.7,0.052,6,0.312,208.2
30.07.2023,AUS-TFY,152,c17,656,720073,21x8x15,RUNNERBAND,NM,SMOOTH,-,2 LAYER,40.9,0.0594,6,0.356,245.4
