date,Customer,wono,ref,erp,icode,t_size,brand,col,fit,rim,cons,fweight,ptv,new,cbm,kgs
03.08.2023,RUS-SPS,157,"RUSSIA -SPS-ORFDER 02 (R)				",661,103162,16x6-8 (150/75-8) (WIDE),ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,16.6,0.0257,30,0.771,498
03.08.2023,RUS-SPS,157,"RUSSIA -SPS-ORFDER 02 (R)				",661,104012,18x7-8 (180/70-8),ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,330,9.999,"6,897.00"
03.08.2023,RUS-SPS,157,"RUSSIA -SPS-ORFDER 02 (R)				",661,110012,140/55-9 (15x5 1/2-9),ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,10,0.0179,320,5.728,"3,200.00"
03.08.2023,RUS-SPS,157,"RUSSIA -SPS-ORFDER 02 (R)				",661,118012,200/50-10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,23.9,0.0388,50,1.94,"1,195.00"
03.08.2023,RUS-SPS,157,"RUSSIA -SPS-ORFDER 02 (R)				",661,119162,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,35.4,0.0508,100,5.08,"3,540.00"
03.08.2023,RUS-SPS,157,"RUSSIA -SPS-ORFDER 02 (R)				",661,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,10,0.691,461
03.08.2023,RUS-SPS,157,"RUSSIA -SPS-ORFDER 02 (R)				",661,127012,27x10-12 (250/75-12),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,73.4,0.1066,20,2.132,"1,468.00"
03.08.2023,RUS-SPS,157,"RUSSIA -SPS-ORFDER 02 (R)				",661,103164,16x6-8 (150/75-8) (WIDE),ACHIEVER PLUS,NM Lt. CREAM,CLIP,4.33,3 LAYER,16.1,0.0257,10,0.257,161.00
03.08.2023,RUS-SPS,157,"RUSSIA -SPS-ORFDER 02 (R)				",661,104014,18x7-8 (180/70-8),ACHIEVER PLUS,NM Lt. CREAM,CLIP,4.33,3 LAYER,20.4,0.0303,60,1.818,"1,224.00"
03.08.2023,RUS-SPS,157,"RUSSIA -SPS-ORFDER 02 (R)				",661,110014,140/55-9 (15x5 1/2-9),ACHIEVER PLUS,NM Lt. CREAM,CLIP,4,3 LAYER,9.85,0.0179,60,1.074,591.00
,RUS-SPS,157,"RUSSIA -SPS-ORFDER 02 (R)				",661,118014,200/50-10,ACHIEVER PLUS,NM Lt. CREAM,CLIP,6.5,3 LAYER,23.6,0.0388,20,0.776,472
