date,Customer,wono,ref,erp,icode,t_size,brand,fit,col,rim,cons,fweight,ptv,new,cbm,kgs
11.08.2023,Belarus - JSC,170-R1,BEL-JSC-20,673,103001,16X6-8,ACHIEVER,BLACK,STD,4.33,2 LAYER,15.7,0.0244,12,0.29,188.4
11.08.2023,Belarus - JSC,170-R1,BEL-JSC-20,673,104001,18X7-8,ACHIEVER,BLACK,STD,4.33,2 LAYER,20.8,0.0303,8,0.24,166.4
11.08.2023,Belarus - JSC,170-R1,BEL-JSC-20,673,102001,5.00 - 8,ACHIEVER,BLACK,STD,3,2 LAYER,15.8,0.0232,80,1.86,"1,264.00"
11.08.2023,Belarus - JSC,170-R1,BEL-JSC-20,673,111001,6.00 - 9,ACHIEVER,BLACK,STD,4,2 LAYER,26.6,0.0377,50,1.89,"1,330.00"
11.08.2023,Belarus - JSC,170-R1,BEL-JSC-20,673,119001,6.50 - 10,ACHIEVER,BLACK,STD,5,2 LAYER,34,0.0488,20,0.98,680
11.08.2023,Belarus - JSC,170-R1,BEL-JSC-20,673,120001,23X9-10,ACHIEVER,BLACK,STD,6.5,2 LAYER,45.7,0.0627,6,0.38,274.2
11.08.2023,Belarus - JSC,170-R1,BEL-JSC-20,673,135001,"28X9-15, 8.15-15",ACHIEVER,BLACK,STD,7,2 LAYER,59.6,0.1024,28,2.87,"1,668.80"
11.08.2023,Belarus - JSC,170-R1,BEL-JSC-20,673,118002,200/50 - 10,ACHIEVER,BLACK,CLIP,6.5,2 LAYER,23.9,0.0388,6,0.23,143.4
11.08.2023,Belarus - JSC,170-R1,BEL-JSC-20,673,120002,23X9-10,ACHIEVER,BLACK,CLIP,6.5,2 LAYER,46,0.0627,6,0.38,276
11.08.2023,Belarus - JSC,170-R1,BEL-JSC-20,673,133002,2.50-15,ACHIEVER,BLACK,CLIP,7,2 LAYER,66.3,0.1049,4,0.42,265.2
11.08.2023,Belarus - JSC,170-R1,BEL-JSC-20,673,152221,10.00 - 20,ACHIEVER,BLACK,STD,7,2 LAYER,204.5,0.246,7,1.72,"1,431.50"
11.08.2023,Belarus - JSC,170-R1,BEL-JSC-20,673,156221,12.00 - 20,ACHIEVER,BLACK,STD,8.5,2 LAYER,252.9,0.3074,4,1.23,"1,011.60"
11.08.2023,Belarus - JSC,170-R1,BEL-JSC-20,673,136012,28 x 12.5 - 15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER,84.2,0.1354,1,0.14,84.2
11.08.2023,Belarus - JSC,170-R1,BEL-JSC-20,673,100041,4.00 - 8,RUNNERSOLID,BLACK,STD,3,3 LAYER,10.7,0.0172,18,0.31,192.6
11.08.2023,Belarus - JSC,170-R1,BEL-JSC-20,673,102041,5.00 - 8,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,30,0.78,513
11.08.2023,Belarus - JSC,170-R1,BEL-JSC-20,673,103041,16 x 6 - 8,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,16.4,0.0263,16,0.42,262.4
11.08.2023,Belarus - JSC,170-R1,BEL-JSC-20,673,104041,18 x 7 - 8,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,20.5,0.0316,40,1.26,820
