date,Customer,wono,ref,erp,icode,t_size,brand,col,fit,rim,cons,fweight,ptv,new,cbm,kgs
14.08.2023,Belarus - JSC,172,BEL-JSC-21,676,104001,18X7-8,ACHIEVER,BLACK,STD,4.33,2 LAYER,20.8,0.0303,8,0.2424,166.4
14.08.2023,Belarus - JSC,172,BEL-JSC-21,676,102001,5.00 - 8,ACHIEVER,BLACK,STD,3,2 LAYER,15.8,0.0232,90,2.088,1422
14.08.2023,Belarus - JSC,172,BEL-JSC-21,676,111001,6.00 - 9,ACHIEVER,BLACK,STD,4,2 LAYER,26.6,0.0377,10,0.377,266
14.08.2023,Belarus - JSC,172,BEL-JSC-21,676,119001,6.50 - 10,ACHIEVER,BLACK,STD,5,2 LAYER,34,0.0488,28,1.3664,952
14.08.2023,Belarus - JSC,172,BEL-JSC-21,676,135001,"28X9-15, 8.15-15",ACHIEVER,BLACK,STD,7,2 LAYER,59.6,0.1024,30,3.072,1788
14.08.2023,Belarus - JSC,172,BEL-JSC-21,676,118002,200/50 - 10,ACHIEVER,BLACK,CLIP,,2 LAYER,23.9,0.0388,6,0.2328,143.4
14.08.2023,Belarus - JSC,172,BEL-JSC-21,676,120002,23X9-10,ACHIEVER,BLACK,CLIP,6.5,2 LAYER,46,0.0627,4,0.2508,184
14.08.2023,Belarus - JSC,172,BEL-JSC-21,676,133002,2.50-15,ACHIEVER,BLACK,CLIP,6.5,2 LAYER,66.3,0.1049,2,0.2098,132.6
14.08.2023,Belarus - JSC,172,BEL-JSC-21,676,100041,4.00 - 8,RUNNERSOLID,BLACK,STD,7,3 LAYER,10.7,0.0172,30,0.516,321
14.08.2023,Belarus - JSC,172,BEL-JSC-21,676,101041,15 x 4.5 - 8,RUNNERSOLID,BLACK,STD,3,3 LAYER,10.1,0.0171,20,0.342,202
14.08.2023,Belarus - JSC,172,BEL-JSC-21,676,102041,5.00 - 8,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,30,0.777,513
14.08.2023,Belarus - JSC,172,BEL-JSC-21,676,103041,16 x 6 - 8,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,16.4,0.0263,20,0.526,328
14.08.2023,Belarus - JSC,172,BEL-JSC-21,676,104041,18 x 7 - 8,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,20.5,0.0316,36,1.1376,738
14.08.2023,Belarus - JSC,172,BEL-JSC-21,676,111041,6.00 - 9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.8,0.039,30,1.17,804
14.08.2023,Belarus - JSC,172,BEL-JSC-21,676,119041,6.50 - 10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.9,0.0523,86,4.4978,3001.4
14.08.2023,Belarus - JSC,172,BEL-JSC-21,676,120041,23 x 9-10,RUNNERSOLID,BLACK,STD,6.5,3 LAYER,44.3,0.0657,6,0.3942,265.8
14.08.2023,Belarus - JSC,172,BEL-JSC-21,676,125041,7.00 - 12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,20,1.45,938
14.08.2023,Belarus - JSC,172,BEL-JSC-21,676,103042,16X6-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,16.6,0.0263,18,0.4734,298.8
14.08.2023,Belarus - JSC,172,BEL-JSC-21,676,110042,140/55 - 9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.3,0.0186,16,0.2976,164.8
14.08.2023,Belarus - JSC,172,BEL-JSC-21,676,112042,21X8- 9,RUNNERSOLID,BLACK,CLIP,6,3 LAYER,33.5,0.0494,2,0.0988,67
