date,Customer,wono,ref,erp,icode,t_size,brand,col,fit,rim,cons,fweight,ptv,new,cbm,kgs
16.08.2023,USA-RRL,173,RRL ORDER 19,677,706071,15X5X11 1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,13.4,0.019,42,0.8,562.80
16.08.2023,USA-RRL,173,RRL ORDER 19,677,714071,18X6X12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,22.8,0.0328,30,0.98,684
16.08.2023,USA-RRL,173,RRL ORDER 19,677,720071,21x8x15,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,40.8,0.0594,16,0.95,652.8
16.08.2023,USA-RRL,173,RRL ORDER 19,677,722071,22X8X16 ,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,42.9,0.0652,32,2.09,"1,372.80"
16.08.2023,USA-RRL,173,RRL ORDER 19,677,723071,22x9x16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,48.6,0.0734,32,2.35,"1,555.20"
16.08.2023,USA-RRL,173,RRL ORDER 19,677,738071,28x12x22,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,83.5,0.1545,10,1.55,835
16.08.2023,USA-RRL,173,RRL ORDER 19,677,714072,18X6X12 1/8,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,22.5,0.0328,30,0.98,675
16.08.2023,USA-RRL,173,RRL ORDER 19,677,715072,18X7X12 1/8,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,25.6,0.0382,24,0.92,614.4
16.08.2023,USA-RRL,173,RRL ORDER 19,677,738072,28x12x22,RUNNERBAND,BLACK,TRACTION,,2 LAYER,81.5,0.1545,8,1.24,652
16.08.2023,USA-RRL,173,RRL ORDER 19,677,700073,10X4X6 1/2,RUNNERBAND,NM,SMOOTH,-,2 LAYER,6.2,0.0067,24,0.16,148.8
16.08.2023,USA-RRL,173,RRL ORDER 19,677,701073,10X5X6 1/2,RUNNERBAND,NM,SMOOTH,-,2 LAYER,6.2,0.0084,24,0.2,148.8
16.08.2023,USA-RRL,173,RRL ORDER 19,677,715073,18X7X12 1/8,RUNNERBAND,NM,SMOOTH,-,2 LAYER,26.6,0.0382,50,1.91,"1,330.00"
16.08.2023,USA-RRL,173,RRL ORDER 19,677,719074,21x7x15,RUNNERBAND,NM,TRACTION,-,2 LAYER,34.6,0.052,60,3.12,"2,076.00"
16.08.2023,USA-RRL,173,RRL ORDER 19,677,166351,31X10-20 Skid Steer Assembly 8 on 8(CW) - LEFT, SKIDSOLID,BLACK,STD,7.5,2 LAYER,110.7,0.1446,34,4.92,"3,763.80"
16.08.2023,USA-RRL,173,RRL ORDER 19,677,166351,31X10-20 Skid Steer Assembly 8 on 8(CW) - RIGHT, SKIDSOLID,BLACK,STD,7.5,2 LAYER,110.7,0.1446,34,4.92,"3,763.80"
16.08.2023,USA-RRL,173,RRL ORDER 19,677,735146,323X100 ,RUNNERLIFT,NMG,TRACTION,-,2 LAYER,9.2,0.0104,40,0.42,368
