date,Customer,wono,ref,erp,icode,t_size,brand,col,fit,rim,cons,fweight,ptv,new,cbm,kgs
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER,17.4,0.0263,10,0.26,174.00
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,103161,16X6-8  (WIDE),ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER,16.3,0.0257,5,0.13,81.5
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,111011,6.00-9,ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26,0.0377,40,1.51,"1,040.00"
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26.4,0.0383,11,0.42,290.4
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,35,1.78,"1,232.00"
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,50,3.46,"2,285.00"
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,133011,2.50-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER,64.6,0.1049,2,0.21,129.2
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,151011,9.00-20,ACHIEVER PLUS,BLACK,STD,7,3 LAYER,127.2,0.204,2,0.41,254.4
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,155011,12.00-20,ACHIEVER PLUS,BLACK,STD,8,3 LAYER,203.9,0.3074,2,0.61,407.8
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,139161,3.00-15 (WIDE),ACHIEVER PLUS,BLACK,STD,8,3 LAYER,108.7,0.1701,4,0.68,434.8
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,142011,7.00-15,ACHIEVER PLUS,BLACK,STD,6,3 LAYER,58.7,0.0943,5,0.47,293.5
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,135011,8.15-15,ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER,59.3,0.1024,4,0.41,237.2
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,138011,8.25-15 ,ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER,80.4,0.1232,3,0.37,241.2
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,138161,8.25-15 (WIDE),ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER,90.6,0.1358,20,2.72,"1,812.00"
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,101162,15X4 1/2-8 (WIDE),ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER,9.9,0.0161,20,0.32,198
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,102162,5.00-8  (WIDE),ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER,17.6,0.0263,4,0.11,70.4
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,111162,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,26.8,0.0383,20,0.77,536
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,119162,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,35.4,0.0508,20,1.02,708
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,12,0.83,553.2
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,127012,27X10-12,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,73.4,0.1066,4,0.43,293.6
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,135012,8.15-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,60.3,0.1024,25,2.56,"1,507.50"
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,134012,2.50-15,ACHIEVER PLUS,BLACK,CLIP,7.5,3 LAYER,67.5,0.1103,3,0.33,202.5
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,139162,300-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,109.2,0.1701,5,0.85,546
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,136012,(28x12-1/2-15) 355/45-15 ,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER,84.2,0.1354,2,0.27,168.4
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,142012,7.00-15,ACHIEVER PLUS,BLACK,CLIP,6,3 LAYER,59,0.0943,3,0.28,177
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,120162,23X9-10(WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,46.8,0.068,5,0.34,234
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,138012,8.25-15,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,81.3,0.1232,63,7.76,"5,121.90"
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,110014,140/55-9,ACHIEVER PLUS,NM,CLIP,4,3 LAYER,9.85,0.0179,7,0.13,68.95
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,104014,18X7-8,ACHIEVER PLUS,NM,CLIP,4.33,3 LAYER,20.4,0.0303,3,0.09,61.2
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,120014,23X9-10 (WIDE),ACHIEVER PLUS,NM,CLIP,6.5,3 LAYER,43.6,0.068,4,0.27,174.4
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,110042,140/55-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.3,0.0186,20,0.37,206
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,101042,15X4 1/2-8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,10.3,0.0171,22,0.38,226.6
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,119042,6.50-10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.3,0.0523,4,0.21,141.2
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,120042,23X9-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,2,0.13,89.4
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,138052,8.25-15,ROCKSOLID,BLACK,CLIP,6.5,3 LAYER,89.2,0.1385,6,0.83,535.2
2023-08-17,ISRL-KST,175,ISRL-KST-ORDER 28,679,722072,22X8X16,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,42,0.0652,5,0.33,210
