Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
,GMN-TRU,194,GMN-TRU- ORDER 29,702,102031,5.00-8,TEAMSTAR,BLACK,STD,3.00D-8,3S-SP-01,15.4,0.0232,4,0.0928,61.6
,GMN-TRU,194,GMN-TRU- ORDER 29,702,111031,6.00-9,TEAMSTAR,BLACK,STD,4.00E-9,3S-SP-01,26.1,0.0377,16,0.6032,417.6
,GMN-TRU,194,GMN-TRU- ORDER 29,702,119031,6.50-10,TEAMSTAR,BLACK,STD,5.00F-10,3S-SP-01,33.9,0.0488,12,0.5856,406.8
,GMN-TRU,194,GMN-TRU- ORDER 29,702,125031,7.00-12,TEAMSTAR,BLACK,STD,5.00S-12,3S-SP-01,46.1,0.0691,8,0.5528,368.8
,GMN-TRU,194,GMN-TRU- ORDER 29,702,135031,28x9-15 (8.15X15),TEAMSTAR,BLACK,STD,7.0-15,3S-SP-01,59.3,0.1024,4,0.4096,237.2
,GMN-TRU,194,GMN-TRU- ORDER 29,702,139031,300-15,TEAMSTAR,BLACK,STD,8.00-15,3S-SP-01,100.4,0.1563,4,0.6252,401.6
,GMN-TRU,194,GMN-TRU- ORDER 29,702,102032,5.00-8,TEAMSTAR,BLACK,CLIP,4.33R-8,3S-SP-01,15.7,0.0232,4,0.0928,62.8
,GMN-TRU,194,GMN-TRU- ORDER 29,702,101032,15x4 1/2-8,TEAMSTAR,BLACK,CLIP,3.00D-8,3S-SP-01,9.2,0.0147,52,0.7644,478.4
,GMN-TRU,194,GMN-TRU- ORDER 29,702,103032,16x6x8,TEAMSTAR,BLACK,CLIP,4.33D-8,3S-SP-01,15.9,0.0244,10,0.244,159
,GMN-TRU,194,GMN-TRU- ORDER 29,702,104032,18x7-8,TEAMSTAR,BLACK,CLIP,4.33R-8,3S-SP-01,20.8,0.0303,130,3.939,2704
,GMN-TRU,194,GMN-TRU- ORDER 29,702,111032,6.00-9,TEAMSTAR,BLACK,CLIP,4.00E-9,3S-SP-01,26.4,0.0377,6,0.2262,158.4
,GMN-TRU,194,GMN-TRU- ORDER 29,702,110032,140/55-9,TEAMSTAR,BLACK,CLIP,4.00E-9,3S-SP-01,10,0.0179,30,0.537,300
,GMN-TRU,194,GMN-TRU- ORDER 29,702,119032,6.50-10,TEAMSTAR,BLACK,CLIP,5.00F-10,3S-SP-01,34.4,0.0488,50,2.44,1720
,GMN-TRU,194,GMN-TRU- ORDER 29,702,112032,21x8-9,TEAMSTAR,BLACK,CLIP,6.00-E-9,3S-SP-01,33.6,0.0478,8,0.3824,268.8
,GMN-TRU,194,GMN-TRU- ORDER 29,702,120032,23x9-10,TEAMSTAR,BLACK,CLIP,6.50F-10,3S-SP-01,45.1,0.0627,46,2.8842,2074.6
,GMN-TRU,194,GMN-TRU- ORDER 29,702,118032,200/50-10,TEAMSTAR,BLACK,CLIP,6.50F-10,3S-SP-01,23.8,0.0388,72,2.7936,1713.6
,GMN-TRU,194,GMN-TRU- ORDER 29,702,125032,7.00-12,TEAMSTAR,BLACK,CLIP,5.00S-12,3S-SP-01,46.8,0.0691,28,1.9348,1310.4
,GMN-TRU,194,GMN-TRU- ORDER 29,702,126032,23x10-12,TEAMSTAR,BLACK,CLIP,8.00G-12,3S-SP-01,50.7,0.0774,18,1.3932,912.6
,GMN-TRU,194,GMN-TRU- ORDER 29,702,135032,28x9-15 (8.15X15),TEAMSTAR,BLACK,CLIP,7.0-15,3S-SP-01,59.7,0.1024,4,0.4096,238.8
,GMN-TRU,194,GMN-TRU- ORDER 29,702,138032,8.25-15,TEAMSTAR,BLACK,CLIP,6.50-15,3S-SP-01,81.9,0.1232,8,0.9856,655.2
,GMN-TRU,194,GMN-TRU- ORDER 29,702,133032,2.50-15,TEAMSTAR,BLACK,CLIP,7.00-15,3S-SP-01,65,0.1049,56,5.8744,3640
,GMN-TRU,194,GMN-TRU- ORDER 29,702,139032,300-15,TEAMSTAR,BLACK,CLIP,8.00-15,3S-SP-01,102.6,0.1563,31,4.8453,3180.6
,GMN-TRU,194,GMN-TRU- ORDER 29,702,136032,28x12.5-15,TEAMSTAR,BLACK,CLIP,9.75-15,3S-SP-01,83.3,0.1354,15,2.031,1249.5
,GMN-TRU,194,GMN-TRU- ORDER 29,702,140032,355/65-15,TEAMSTAR,BLACK,CLIP,9.75-15,3S-SP-01,124.8,0.1852,3,0.5556,374.4
,GMN-TRU,194,GMN-TRU- ORDER 29,702,110034,140/55-9,TEAMSTAR,NM-WHITE,CLIP,4.00E-9,3S-SP-01,10,0.0179,10,0.179,100
,GMN-TRU,194,GMN-TRU- ORDER 29,702,103034,16x6x8,TEAMSTAR,NM-WHITE,CLIP,4.33D-8,3S-SP-01,15.6,0.0244,4,0.0976,62.4
,GMN-TRU,194,GMN-TRU- ORDER 29,702,104034,18x7-8,TEAMSTAR,NM-WHITE,CLIP,4.33R-8,3S-SP-01,20.6,0.0303,24,0.7272,494.4
,GMN-TRU,194,GMN-TRU- ORDER 29,702,120034,23x9-10,TEAMSTAR,NM-WHITE,CLIP,6.50F-10,3S-SP-01,44.5,0.0627,2,0.1254,89
,GMN-TRU,194,GMN-TRU- ORDER 29,702,118034,200/50-10,TEAMSTAR,NM-WHITE,CLIP,6.50F-10,3S-SP-01,23.6,0.0388,22,0.8536,519.2
