Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
,AUS-TFY,201,AUS/TFY- CONTAINER 18(R),709,103161,16x6-8  (WIDE),ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,16.3,0.0257,40,1.028,652
,AUS-TFY,201,AUS/TFY- CONTAINER 18(R),709,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER ,17.4,0.0263,40,1.052,696
,AUS-TFY,201,AUS/TFY- CONTAINER 18(R),709,104011,18x7-8,ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,20.8,0.0303,50,1.515,"1,040.00"
,AUS-TFY,201,AUS/TFY- CONTAINER 18(R),709,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,45.7,0.0691,50,3.455,"2,285.00"
,AUS-TFY,201,AUS/TFY- CONTAINER 18(R),709,135011,28x9-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,59.3,0.1024,10,1.024,593
,AUS-TFY,201,AUS/TFY- CONTAINER 18(R),709,133011,2.50-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,64.6,0.1049,10,1.049,646
,AUS-TFY,201,AUS/TFY- CONTAINER 18(R),709,139161,3.00-15 (WIDE),ACHIEVER PLUS,BLACK,STD,8,3 LAYER ,108.7,0.1701,12,2.041,"1,304.40"
,AUS-TFY,201,AUS/TFY- CONTAINER 18(R),709,138161,8.25-15 (WIDE),ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER ,90.6,0.1358,20,2.716,"1,812.00"
,AUS-TFY,201,AUS/TFY- CONTAINER 18(R),709,151011,9.00-20,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,127.2,0.204,14,2.856,"1,780.80"
,AUS-TFY,201,AUS/TFY- CONTAINER 18(R),709,154161,10.00-20 (WIDE),ACHIEVER PLUS,BLACK,STD,8,3 LAYER ,167.8,0.2622,12,3.146,"2,013.60"
,AUS-TFY,201,AUS/TFY- CONTAINER 18(R),709,104013,18x7-8,ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,20.3,0.0303,40,1.212,812
,AUS-TFY,201,AUS/TFY- CONTAINER 18(R),709,111163,6.00-9 (WIDE),ACHIEVER PLUS,NM,STD,4,3 LAYER ,25.7,0.0383,30,1.149,771
,AUS-TFY,201,AUS/TFY- CONTAINER 18(R),709,119163,6.50-10 (WIDE),ACHIEVER PLUS,NM,STD,5,3 LAYER ,34,0.0508,50,2.54,"1,700.00"
,AUS-TFY,201,AUS/TFY- CONTAINER 18(R),709,125013,7.00-12,ACHIEVER PLUS,NM,STD,5,3 LAYER ,44.6,0.0691,50,3.455,"2,230.00"
,AUS-TFY,201,AUS/TFY- CONTAINER 18(R),709,133013,2.50-15,ACHIEVER PLUS,NM,STD,7,3 LAYER ,62.8,0.1049,12,1.259,753.6
,AUS-TFY,201,AUS/TFY- CONTAINER 18(R),709,139163,3.00-15 (WIDE),ACHIEVER PLUS,NM,STD,8,3 LAYER ,106.4,0.1701,6,1.021,638.4
,AUS-TFY,201,AUS/TFY- CONTAINER 18(R),709,722071,22x8x16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,42.9,0.0652,12,0.782,514.8
