Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
,EGYPT,204,IEC - ORDER 02 -C-02(7),712,111001,6.00-9,ACHIEVER,BLACK,STD,4,2 LAYER,26.6,0.0377,20,0.75,532
,EGYPT,204,IEC - ORDER 02 -C-02(7),712,119241,6.50-10 (WIDE),ACHIEVER,BLACK,STD,5,2 LAYER,35.6,0.0508,48,2.44,"1,708.80"
,EGYPT,204,IEC - ORDER 02 -C-02(7),712,125001,7.00-12,ACHIEVER,BLACK,STD,5,2 LAYER,46.8,0.0691,16,1.11,748.8
,EGYPT,204,IEC - ORDER 02 -C-02(7),712,141001,7.00-15,ACHIEVER,BLACK,STD,5.5,2 LAYER,58.6,0.1107,10,1.11,586
,EGYPT,204,IEC - ORDER 02 -C-02(7),712,135001,"28X9-15, 8.15-15",ACHIEVER,BLACK,STD,7,2 LAYER,59.6,0.1024,30,3.07,"1,788.00"
,EGYPT,204,IEC - ORDER 02 -C-02(7),712,139241,3.00-15 (WIDE),ACHIEVER,BLACK,STD,8,2 LAYER,109.6,0.1701,6,1.02,657.6
,EGYPT,204,IEC - ORDER 02 -C-02(7),712,151001,9.00-20,ACHIEVER,BLACK,STD,7,2 LAYER,128.1,0.204,12,2.45,"1,537.20"
,EGYPT,204,IEC - ORDER 02 -C-02(7),712,101002,15x4 1/2-8,ACHIEVER,BLACK,CLIP,3,2 LAYER,9.2,0.0161,26,0.42,239.2
,EGYPT,204,IEC - ORDER 02 -C-02(7),712,110002,140/55-9,ACHIEVER,BLACK,CLIP,4,2 LAYER,10,0.0179,8,0.14,80
,EGYPT,204,IEC - ORDER 02 -C-02(7),712,103002,16X6-8,ACHIEVER,BLACK,CLIP,4.33,2 LAYER,16,0.0244,6,0.15,96
,EGYPT,204,IEC - ORDER 02 -C-02(7),712,104002,18x7-8,ACHIEVER,BLACK,CLIP,4.33,2 LAYER,20.9,0.0303,16,0.48,334.4
,EGYPT,204,IEC - ORDER 02 -C-02(7),712,118002,200/50-10,ACHIEVER,BLACK,CLIP,6.5,2 LAYER,23.9,0.0388,16,0.62,382.4
,EGYPT,204,IEC - ORDER 02 -C-02(7),712,101004,15x4 1/2-8,ACHIEVER,Non Marking,CLIP,3,2 LAYER,9.2,0.0147,12,0.18,110.4
,EGYPT,204,IEC - ORDER 02 -C-02(7),712,110004,140/55-9,ACHIEVER,Non Marking,CLIP,4,2 LAYER,10,0.0179,6,0.11,60
,EGYPT,204,IEC - ORDER 02 -C-02(7),712,104004,18x7-8,ACHIEVER,Non Marking,CLIP,4.33,2 LAYER,21,0.0303,10,0.3,210
