Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
14.09.2023,ISRL-KST,207,ISRL-KST- CONTAINER- 30,718,101161,15X4 1/2-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER,9.8,0.0161,6,0.1,58.8
,ISRL-KST,207,ISRL-KST- CONTAINER- 30,718,103161,16X6-8  (WIDE),ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER,16.3,0.0257,4,0.1,65.2
,ISRL-KST,207,ISRL-KST- CONTAINER- 30,718,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER,17.4,0.0263,6,0.16,104.4
,ISRL-KST,207,ISRL-KST- CONTAINER- 30,718,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26.4,0.0383,50,1.92,"1,320.00"
,ISRL-KST,207,ISRL-KST- CONTAINER- 30,718,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,30,1.52,"1,056.00"
,ISRL-KST,207,ISRL-KST- CONTAINER- 30,718,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,4,0.28,182.8
,ISRL-KST,207,ISRL-KST- CONTAINER- 30,718,142011,7.00-15,ACHIEVER PLUS,BLACK,STD,6,3 LAYER,58.7,0.0943,6,0.57,352.2
,ISRL-KST,207,ISRL-KST- CONTAINER- 30,718,135011,8.15-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER,59.3,0.1024,2,0.2,118.6
,ISRL-KST,207,ISRL-KST- CONTAINER- 30,718,138161,8.25-15 (WIDE),ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER,90.6,0.1358,10,1.36,906
,ISRL-KST,207,ISRL-KST- CONTAINER- 30,718,139161,3.00-15 (WIDE),ACHIEVER PLUS,BLACK,STD,8,3 LAYER,108.7,0.1701,2,0.34,217.4
,ISRL-KST,207,ISRL-KST- CONTAINER- 30,718,151011,9.00-20,ACHIEVER PLUS,BLACK,STD,7,3 LAYER,127.2,0.204,10,2.04,"1,272.00"
,ISRL-KST,207,ISRL-KST- CONTAINER- 30,718,154011,10.00-20,ACHIEVER PLUS,BLACK,STD,8,3 LAYER,157.4,0.246,10,2.46,"1,574.00"
,ISRL-KST,207,ISRL-KST- CONTAINER- 30,718,156011,12.00-20,ACHIEVER PLUS,BLACK,STD,8.5,3 LAYER,204.7,0.3074,6,1.84,"1,228.20"
,ISRL-KST,207,ISRL-KST- CONTAINER- 30,718,101162,15X4 1/2-8 (WIDE),ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER,9.9,0.0161,20,0.32,198
,ISRL-KST,207,ISRL-KST- CONTAINER- 30,718,110012,140/55-9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,10,0.0179,100,1.79,"1,000.00"
,ISRL-KST,207,ISRL-KST- CONTAINER- 30,718,102162,5.00-8  (WIDE),ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER,17.6,0.0263,2,0.05,35.2
,ISRL-KST,207,ISRL-KST- CONTAINER- 30,718,104012,18X7-8,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,20,0.61,418
,ISRL-KST,207,ISRL-KST- CONTAINER- 30,718,119162,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,35.4,0.0508,12,0.61,424.8
,ISRL-KST,207,ISRL-KST- CONTAINER- 30,718,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,4,0.28,184.4
,ISRL-KST,207,ISRL-KST- CONTAINER- 30,718,120162,23X9-10(WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,46.8,0.068,10,0.68,468
,ISRL-KST,207,ISRL-KST- CONTAINER- 30,718,142012,7.00-15,ACHIEVER PLUS,BLACK,CLIP,6,3 LAYER,59,0.0943,4,0.38,236
,ISRL-KST,207,ISRL-KST- CONTAINER- 30,718,135012,8.15-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,60.3,0.1024,4,0.41,241.2
,ISRL-KST,207,ISRL-KST- CONTAINER- 30,718,133012,2.50-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,65.2,0.1049,4,0.42,260.8
,ISRL-KST,207,ISRL-KST- CONTAINER- 30,718,127012,27X10-12,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,73.4,0.1066,4,0.43,293.6
,ISRL-KST,207,ISRL-KST- CONTAINER- 30,718,138012,8.25-15,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,81.3,0.1358,30,4.07,"2,439.00"
,ISRL-KST,207,ISRL-KST- CONTAINER- 30,718,139162,300-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,109.2,0.1701,26,4.42,"2,839.20"
,ISRL-KST,207,ISRL-KST- CONTAINER- 30,718,110014,140/55-9,ACHIEVER PLUS,NM,CLIP,4,3 LAYER,9.85,0.0179,10,0.18,98.5
,ISRL-KST,207,ISRL-KST- CONTAINER- 30,718,104014,18X7-8,ACHIEVER PLUS,NM,CLIP,4.33,3 LAYER,20.4,0.0303,10,0.3,204
,ISRL-KST,207,ISRL-KST- CONTAINER- 30,718,120164,23X9-10 (WIDE),ACHIEVER PLUS,NM,CLIP,6.5,3 LAYER,45.3,0.068,6,0.41,271.8
,ISRL-KST,207,ISRL-KST- CONTAINER- 30,718,119042,6.50-10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.3,0.0523,4,0.21,141.2
