Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs,
,UAE-MTG,209,UAE-MTG-LCL ORDER 01                   (ORDER 03),720,119471,6.50-10 (WIDE),MAGNA MA610,BLACK,STD,5,3 LAYER,35.2,0.0508,50,2.54,"1,760.00",
,UAE-MTG,209,UAE-MTG-LCL ORDER 01                   (ORDER 03),720,125461,7.00-12,MAGNA MA610,BLACK,STD,5,3 LAYER,45.7,0.0691,20,1.38,914,
,UAE-MTG,209,UAE-MTG-LCL ORDER 01                   (ORDER 03),720,111472,6.00-9 (WIDE),MAGNA MA610,BLACK,CLIP,4,3 LAYER,26.8,0.0383,20,0.77,536,
,UAE-MTG,209,UAE-MTG-LCL ORDER 01                   (ORDER 03),720,119472,6.50-10 (WIDE),MAGNA MA610,BLACK,CLIP,5,3 LAYER,35.4,0.0508,20,1.02,708,
,UAE-MTG,209,UAE-MTG-LCL ORDER 01                   (ORDER 03),720,135462,28X9-15,MAGNA MA610,BLACK,CLIP,7,3 LAYER,60.3,0.1024,20,2.05,"1,206.00",
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
