Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
,SPAIN,213,SPA-GTI-Order 15,724,101041,15 x 4 1/2 - 8 ,RUNNERSOLID,BLACK,STD,3,3 LAYER,10.1,0.0171,100,1.71,"1,010.00"
,SPAIN,213,SPA-GTI-Order 15,724,102041,5.00-8,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,20,0.52,342
,SPAIN,213,SPA-GTI-Order 15,724,111041,6.00-9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.8,0.039,30,1.17,804
,SPAIN,213,SPA-GTI-Order 15,724,112041,21x8-9,RUNNERSOLID,BLACK,STD,6,3 LAYER,33.2,0.0494,4,0.2,132.8
,SPAIN,213,SPA-GTI-Order 15,724,119041,6.50-10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.9,0.0523,20,1.05,698
,SPAIN,213,SPA-GTI-Order 15,724,125041,7.00-12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,40,2.9,"1,876.00"
,SPAIN,213,SPA-GTI-Order 15,724,110042,140/55-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.3,0.0186,50,0.93,515
,SPAIN,213,SPA-GTI-Order 15,724,104042,18x7-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.8,0.0316,30,0.95,624
,SPAIN,213,SPA-GTI-Order 15,724,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,23.1,0.0394,20,0.79,462
,SPAIN,213,SPA-GTI-Order 15,724,112042,21x8-9,RUNNERSOLID,BLACK,CLIP,6,3 LAYER,33.5,0.0494,4,0.2,134
,SPAIN,213,SPA-GTI-Order 15,724,120042,23x9-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,20,1.31,894
,SPAIN,213,SPA-GTI-Order 15,724,126042,23x10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,47.1,0.0764,10,0.76,471
,SPAIN,213,SPA-GTI-Order 15,724,135042,28x9-15,RUNNERSOLID,BLACK,CLIP,7,3 LAYER,58.7,0.1041,10,1.04,587
,SPAIN,213,SPA-GTI-Order 15,724,133042,250-15,RUNNERSOLID,BLACK,CLIP,7,3 LAYER,65.9,0.1127,20,2.25,"1,318.00"
,SPAIN,213,SPA-GTI-Order 15,724,103043,16 x 6 - 8 ,RUNNERSOLID,NM,STD,4.33,3 LAYER,16.5,0.0263,20,0.53,330
,SPAIN,213,SPA-GTI-Order 15,724,104043,18x7-8,RUNNERSOLID,NM,STD,4.33,3 LAYER,20.8,0.0316,10,0.32,208
,SPAIN,213,SPA-GTI-Order 15,724,110044,140/55-9,RUNNERSOLID,NM,CLIP,4,3 LAYER,10.4,0.0186,20,0.37,207.9
,SPAIN,213,SPA-GTI-Order 15,724,102044,5.00-8,RUNNERSOLID,NM,CLIP,3,3 LAYER,17.4,0.0259,10,0.26,174
,SPAIN,213,SPA-GTI-Order 15,724,111044,6.00-9,RUNNERSOLID,NM,CLIP,4,3 LAYER,27.1,0.039,10,0.39,271
,SPAIN,213,SPA-GTI-Order 15,724,119044,6.50-10,RUNNERSOLID,NM,CLIP,5,3 LAYER,35.8,0.0523,10,0.52,358
,SPAIN,213,SPA-GTI-Order 15,724,126044,23x10-12,RUNNERSOLID,NM,CLIP,8,3 LAYER,47.5,0.0764,10,0.76,475
,SPAIN,213,SPA-GTI-Order 15,724,135051,28x9-15,ROCKSOLID,BLACK,STD,7,3 LAYER,59.7,0.1064,4,0.43,238.8
,SPAIN,213,SPA-GTI-Order 15,724,133051,2.50-15,ROCKSOLID,BLACK,STD,7,3 LAYER,66.6,0.1149,4,0.46,266.4
,SPAIN,213,SPA-GTI-Order 15,724,138051,8.25-15,ROCKSOLID,BLACK,STD,6.5,3 LAYER,88.7,0.1385,8,1.11,709.6
,SPAIN,213,SPA-GTI-Order 15,724,153051,10.00-20,ROCKSOLID,BLACK,STD,7.5,3 LAYER,168.3,0.279,8,2.23,"1,346.40"
,SPAIN,213,SPA-GTI-Order 15,724,141052,7.00-15,ROCKSOLID,BLACK,CLIP,5.5,3 LAYER,56.3,0.0946,12,1.14,675.6
,SPAIN,213,SPA-GTI-Order 15,724,135052,28x9-15,ROCKSOLID,BLACK,CLIP,7,3 LAYER,60.6,0.1064,10,1.06,606
,SPAIN,213,SPA-GTI-Order 15,724,136052,28x12 1/2-15,ROCKSOLID,BLACK,CLIP,9.75,3 LAYER,77.1,0.1365,13,1.77,"1,002.30"
,SPAIN,213,SPA-GTI-Order 15,724,138052,8.25-15,ROCKSOLID,BLACK,CLIP,6.5,3 LAYER,89.2,0.1385,12,1.66,"1,070.40"
,SPAIN,213,SPA-GTI-Order 15,724,711071,16 x 6 x 10 1/2  ,RUNNERBAND,BLACK ,SMOOTH,-,2 LAYER,19.6,0.0259,4,0.1,78.4
,SPAIN,213,SPA-GTI-Order 15,724,714071,18 x 6 x 12 1/8  ,RUNNERBAND,BLACK ,SMOOTH,-,2 LAYER,22.8,0.0328,4,0.13,91.2
,SPAIN,213,SPA-GTI-Order 15,724,715071,18 x 7 x 12 1/8  ,RUNNERBAND,BLACK ,SMOOTH,-,2 LAYER,26.3,0.0382,4,0.15,105.2
,SPAIN,213,SPA-GTI-Order 15,724,719071,21 x 7 x 15     ,RUNNERBAND,BLACK ,SMOOTH,-,2 LAYER,35.4,0.052,4,0.21,141.6
,SPAIN,213,SPA-GTI-Order 15,724,720071,21 x 8 x 15        ,RUNNERBAND,BLACK ,SMOOTH,-,2 LAYER,40.8,0.0594,4,0.24,163.2
,SPAIN,213,SPA-GTI-Order 15,724,741071,40 x 16 x 30      ,RUNNERBAND,BLACK ,SMOOTH,-,2 LAYER,227.5,0.4195,4,1.68,910
,SPAIN,213,SPA-GTI-Order 15,724,165321,31x10-16 (LEFT),SKIDSOLID,BLACK,STD,6,2 LAYER,74.8,0.1446,2,0.29,149.6
,SPAIN,213,SPA-GTI-Order 15,724,165321,31x10-16 (RIGHT),SKIDSOLID,BLACK,STD,6,2 LAYER,74.8,0.1446,2,0.29,149.6
