Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
07.10.2023,AUS-TFY,231,AUS/TFY- CONTAINER 20,743,103161,16x6-8  (WIDE),ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,16.3,0.0257,20,0.514,326
07.10.2023,AUS-TFY,231,AUS/TFY- CONTAINER 20,743,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER ,17.4,0.0263,60,1.578,"1,044.00"
07.10.2023,AUS-TFY,231,AUS/TFY- CONTAINER 20,743,104011,18x7-8,ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,20.8,0.0303,20,0.606,416
07.10.2023,AUS-TFY,231,AUS/TFY- CONTAINER 20,743,111011,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER ,26,0.0303,150,4.545,"3,900.00"
07.10.2023,AUS-TFY,231,AUS/TFY- CONTAINER 20,743,119161,6.50-10(WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,35.2,0.0508,120,6.096,"4,224.00"
07.10.2023,AUS-TFY,231,AUS/TFY- CONTAINER 20,743,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,45.7,0.0691,120,8.292,"5,484.00"
07.10.2023,AUS-TFY,231,AUS/TFY- CONTAINER 20,743,133011,2.50-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,64.6,0.1049,10,1.049,646
07.10.2023,AUS-TFY,231,AUS/TFY- CONTAINER 20,743,153161,10.00-20 (WIDE),ACHIEVER PLUS,BLACK,STD,7.5,3 LAYER ,167.3,0.246,2,0.492,334.6
07.10.2023,AUS-TFY,231,AUS/TFY- CONTAINER 20,743,103163,16x6-8 (WIDE),ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,15.8,0.0257,50,1.285,790
07.10.2023,AUS-TFY,231,AUS/TFY- CONTAINER 20,743,102163,5.00-8 (WIDE),ACHIEVER PLUS,NM,STD,3,3 LAYER ,17,0.0263,30,0.789,510
07.10.2023,AUS-TFY,231,AUS/TFY- CONTAINER 20,743,125013,7.00-12,ACHIEVER PLUS,NM,STD,5,3 LAYER ,44.6,0.0691,12,0.829,535.2
07.10.2023,AUS-TFY,231,AUS/TFY- CONTAINER 20,743,730071,16.25x7x11.25,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,22.3,0.0652,12,0.782,267.6
