Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
25.08.2023,KOREA,BULK WO,KOR-NTC-13-1,681 1,100311,4.00-8,NEXEN ,BLACK,STD,3,APPROVED NEXEN COMPOUND,10.82,0.0169,,                -  ,                  -  
25.08.2023,KOREA,BULK WO,KOR-NTC-13-1,681 1,102301,5.00-8,NEXEN ALLPRO,BLACK,STD,3,APPROVED NEXEN COMPOUND,16.03,0.0244,55,1.34,881.65
25.08.2023,KOREA,BULK WO,KOR-NTC-13-1,681 1,104301,18x7-8,NEXEN ALLPRO,BLACK,STD,4.33,APPROVED NEXEN COMPOUND,19.83,0.03,100,3,"1,983.00"
25.08.2023,KOREA,BULK WO,KOR-NTC-13-1,681 1,118301,200/50-10,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,23.67,0.0404,20,0.81,473.4
25.08.2023,KOREA,BULK WO,KOR-NTC-13-1,681 1,111301,6.00-9,NEXEN ALLPRO,BLACK,STD,4,APPROVED NEXEN COMPOUND,25.6,0.0379,20,0.76,512
25.08.2023,KOREA,BULK WO,KOR-NTC-13-1,681 1,112301,21x8-9,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,33.1,0.049,30,1.47,993
25.08.2023,KOREA,BULK WO,KOR-NTC-13-1,681 1,119301,6.50-10,NEXEN ALLPRO,BLACK,STD,5,APPROVED NEXEN COMPOUND,35.5,0.0529,100,5.29,"3,550.00"
25.08.2023,KOREA,BULK WO,KOR-NTC-13-1,681 1,120301,23x9-10,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,46.4,0.0682,10,0.68,464
25.08.2023,KOREA,BULK WO,KOR-NTC-13-1,681 1,125301,7.00-12,NEXEN ALLPRO,BLACK,STD,5,APPROVED NEXEN COMPOUND,45.6,0.071,,                -  ,                  -  
25.08.2023,KOREA,BULK WO,KOR-NTC-13-1,681 1,126301,23x10-12,NEXEN ALLPRO,BLACK,STD,8,APPROVED NEXEN COMPOUND,49.9,0.0798,,                -  ,                  -  
25.08.2023,KOREA,BULK WO,KOR-NTC-13-1,681 1,135301,8.15-15,NEXEN ALLPRO,BLACK,STD,7,APPROVED NEXEN COMPOUND,58.5,0.1011,50,5.06,"2,925.00"
25.08.2023,KOREA,BULK WO,KOR-NTC-13-1,681 1,141301,7.00-15,NEXEN ALLPRO,BLACK,STD,5.5,APPROVED NEXEN COMPOUND,56.35,0.0922,,                -  ,                  -  
25.08.2023,KOREA,BULK WO,KOR-NTC-13-1,681 1,171301,7.50-16,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,71.72,0.1162,,                -  ,                  -  
25.08.2023,KOREA,BULK WO,KOR-NTC-13-1,681 1,138301,8.25-15,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,85.05,0.1315,,                -  ,                  -  
25.08.2023,KOREA,BULK WO,KOR-NTC-13-1,681 1,139301,3.00-15,NEXEN ALLPRO,BLACK,STD,8,APPROVED NEXEN COMPOUND,107.75,0.1661,20,3.32,"2,155.00"
25.08.2023,KOREA,BULK WO,KOR-NTC-13-1,681 1,101302,15x4 1/2-8,NEXEN ALLPRO,BLACK,CLIP,3,APPROVED NEXEN COMPOUND,9.42,0.0158,,                -  ,                  -  
25.08.2023,KOREA,BULK WO,KOR-NTC-13-1,681 1,102302,5.00-8,NEXEN ALLPRO,BLACK,CLIP,3,APPROVED NEXEN COMPOUND,16.14,0.0244,,                -  ,                  -  
25.08.2023,KOREA,BULK WO,KOR-NTC-13-1,681 1,104302,18x7-8,NEXEN ALLPRO,BLACK,CLIP,4.33,APPROVED NEXEN COMPOUND,20.07,0.03,,                -  ,                  -  
25.08.2023,KOREA,BULK WO,KOR-NTC-13-1,681 1,118302,200/50-10,NEXEN ALLPRO,BLACK,CLIP,6.5,APPROVED NEXEN COMPOUND,24.03,0.0404,30,1.21,720.9
25.08.2023,KOREA,BULK WO,KOR-NTC-13-1,681 1,111302,6.00-9,NEXEN ALLPRO,BLACK,CLIP,4,APPROVED NEXEN COMPOUND,25.99,0.0379,25,0.95,649.75
25.08.2023,KOREA,BULK WO,KOR-NTC-13-1,681 1,112302,21x8-9,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,33.4,0.049,,                -  ,                  -  
25.08.2023,KOREA,BULK WO,KOR-NTC-13-1,681 1,119302,6.50-10,NEXEN ALLPRO,BLACK,CLIP,5,APPROVED NEXEN COMPOUND,35.83,0.0529,,                -  ,                  -  
25.08.2023,KOREA,BULK WO,KOR-NTC-13-1,681 1,125302,7.00-12,NEXEN ALLPRO,BLACK,CLIP,5,APPROVED NEXEN COMPOUND,46.45,0.071,,                -  ,                  -  
25.08.2023,KOREA,BULK WO,KOR-NTC-13-1,681 1,126302,23x10-12,NEXEN ALLPRO,BLACK,STD,8,APPROVED NEXEN COMPOUND,50.31,0.0798,,                -  ,                  -  
25.08.2023,KOREA,BULK WO,KOR-NTC-13-1,681 1,135302,8.15-15,NEXEN ALLPRO,BLACK,CLIP,7,APPROVED NEXEN COMPOUND,59.3,0.1011,30,3.03,"1,779.00"
25.08.2023,KOREA,BULK WO,KOR-NTC-13-1,681 1,138302,8.25-15,NEXEN ALLPRO,BLACK,CLIP,6.5,APPROVED NEXEN COMPOUND,85.5,0.1315,,                -  ,                  -  
