Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
,DEN-CJT,182,DEN-CJT ORDER ORDER 01,690,102041,5.00 - 8,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,20,0.52,342
,DEN-CJT,182,DEN-CJT ORDER ORDER 01,690,111041,6.00 - 9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.8,0.039,20,0.78,536
,DEN-CJT,182,DEN-CJT ORDER ORDER 01,690,119041,6.50 - 10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.9,0.0523,16,0.84,558.4
,DEN-CJT,182,DEN-CJT ORDER ORDER 01,690,125041,7.00 - 12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,20,1.45,938
,DEN-CJT,182,DEN-CJT ORDER ORDER 01,690,101042,15 x 4.5 - 8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,10.3,0.0171,20,0.34,206
,DEN-CJT,182,DEN-CJT ORDER ORDER 01,690,110042,140/55 - 9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.3,0.0186,6,0.11,61.8
,DEN-CJT,182,DEN-CJT ORDER ORDER 01,690,103042,16X6-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,16.6,0.0263,8,0.21,132.8
,DEN-CJT,182,DEN-CJT ORDER ORDER 01,690,102042,5.00 - 8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,17.4,0.0259,6,0.16,104.4
,DEN-CJT,182,DEN-CJT ORDER ORDER 01,690,104042,18 x 7 - 8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.8,0.0316,30,0.95,624
,DEN-CJT,182,DEN-CJT ORDER ORDER 01,690,118042,200/50 - 10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,23.1,0.0394,10,0.39,231
,DEN-CJT,182,DEN-CJT ORDER ORDER 01,690,111042,6.00 - 9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,27.1,0.039,4,0.16,108.4
,DEN-CJT,182,DEN-CJT ORDER ORDER 01,690,119042,6.50 - 10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.3,0.0523,16,0.84,564.8
,DEN-CJT,182,DEN-CJT ORDER ORDER 01,690,120042,23X9-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,10,0.66,447
,DEN-CJT,182,DEN-CJT ORDER ORDER 01,690,126042,23X10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,47.1,0.0764,4,0.31,188.4
,DEN-CJT,182,DEN-CJT ORDER ORDER 01,690,125042,7.00 - 12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.8,0.0725,20,1.45,956
,DEN-CJT,182,DEN-CJT ORDER ORDER 01,690,135051,8.15-15 ,ROCKSOLID,BLACK,STD,7,3 LAYER,59.7,0.1064,8,0.85,477.6
,DEN-CJT,182,DEN-CJT ORDER ORDER 01,690,133051,2.50-15,ROCKSOLID,BLACK,STD,7,3 LAYER,66.6,0.1149,2,0.23,133.2
,DEN-CJT,182,DEN-CJT ORDER ORDER 01,690,141052,7.00 - 15,ROCKSOLID,BLACK,CLIP,5.5,3 LAYER,56.3,0.0946,4,0.38,225.2
,DEN-CJT,182,DEN-CJT ORDER ORDER 01,690,135052,8.15-15 ,ROCKSOLID,BLACK,CLIP,7,3 LAYER,60.6,0.1064,22,2.34,"1,333.20"
,DEN-CJT,182,DEN-CJT ORDER ORDER 01,690,133052,2.50-15,ROCKSOLID,BLACK,CLIP,7,3 LAYER,67.1,0.1149,16,1.84,"1,073.60"
,DEN-CJT,182,DEN-CJT ORDER ORDER 01,690,136052,28X12 1/2-15,ROCKSOLID,BLACK,CLIP,9.75,3 LAYER,77.1,0.1365,6,0.82,462.6
,DEN-CJT,182,DEN-CJT ORDER ORDER 01,690,138052,8.25-15,ROCKSOLID,BLACK,CLIP,6.5,3 LAYER,89.2,0.1385,12,1.66,"1,070.40"
,DEN-CJT,182,DEN-CJT ORDER ORDER 01,690,139052,3.00-15,ROCKSOLID,BLACK,CLIP,8,3 LAYER,109.1,0.1711,14,2.4,"1,527.40"
,DEN-CJT,182,DEN-CJT ORDER ORDER 01,690,140052,355/65-15,ROCKSOLID,BLACK,CLIP,9.75,3 LAYER,128,0.2021,14,2.83,"1,792.00"
